"","STRATUM","NperHa","area_km2","Ws","p","eq","n_trans_p","n_trans_eq"
"1","1",9646.15266715894,929,8961275.82779066,0.248,0.273,5,5
"2","2",12459.4070702756,631,7861885.86134392,0.218,0.185,4,4
"3","3",8541.94109970345,273,2331949.92021904,0.065,0.08,1,2
"4","4",11699.8990606248,518,6060547.71340363,0.168,0.152,3,3
"5","5",10185.9880591753,969,9870222.42934084,0.274,0.284,5,6
"6","6",11544.9361110894,86,992864.505553692,0.028,0.025,1,0
