"","STRATUM","NperHa","area_km2","Ws","p","eq","n_trans_p","n_trans_eq"
"1","1",9096.22358644814,796,7240593.97481272,0.046,0.063,1,1
"2","2",14053.4250363478,1582,22232518.4075022,0.14,0.125,3,2
"3","3",11217.5926371388,1638,18374416.7396333,0.116,0.129,2,3
"4","4",11695.6067960906,1098,12841776.2621075,0.081,0.087,2,2
"5","5",17306.1998001638,1179,20404009.5643931,0.129,0.093,3,2
"6","6",13812.417129137,2529,34931602.9195874,0.221,0.2,4,4
"7","7",10932.502261364,3130,34218732.0780694,0.216,0.247,4,5
"8","8",11161.9561915591,722,8058932.37030565,0.051,0.057,1,1
