"","Basin","Year","Transect","Interval","NperHa","STRATUM","name","area_km2","geometry"
"904","WB",2017,1,18,3416,"1","Detroit R.",929,c(-83.148178, 41.825979)
"905","WB",2017,1,19,3944,"1","Detroit R.",929,c(-83.141513, 41.833427)
"906","WB",2017,1,20,2892,"1","Detroit R.",929,c(-83.135278, 41.84106)
"907","WB",2017,1,21,3375,"1","Detroit R.",929,c(-83.129193, 41.84876)
"908","WB",2017,1,22,3222,"1","Detroit R.",929,c(-83.122723, 41.856273)
"909","WB",2017,1,23,3061,"1","Detroit R.",929,c(-83.116169, 41.863768)
"910","WB",2017,1,24,2562,"1","Detroit R.",929,c(-83.109875, 41.871376)
"911","WB",2017,1,25,3674,"1","Detroit R.",929,c(-83.103323, 41.878917)
"912","WB",2017,1,26,3627,"1","Detroit R.",929,c(-83.097143, 41.886503)
"913","WB",2017,1,27,5777,"1","Detroit R.",929,c(-83.09082, 41.894204)
"914","WB",2017,1,28,6286,"1","Detroit R.",929,c(-83.084436, 41.901739)
"915","WB",2017,1,29,3356,"1","Detroit R.",929,c(-83.077815, 41.90916)
"916","WB",2017,1,30,1616,"1","Detroit R.",929,c(-83.07157, 41.916707)
"917","WB",2017,1,31,1048,"1","Detroit R.",929,c(-83.064931, 41.924246)
"918","WB",2017,1,32,1193,"1","Detroit R.",929,c(-83.058723, 41.931827)
"919","WB",2017,1,33,1546,"1","Detroit R.",929,c(-83.052417, 41.939548)
"920","WB",2017,1,34,1595,"1","Detroit R.",929,c(-83.046142, 41.947208)
"921","WB",2017,1,35,4339,"1","Detroit R.",929,c(-83.039661, 41.954795)
"922","WB",2017,1,36,5683,"1","Detroit R.",929,c(-83.032939, 41.962264)
"923","WB",2017,1,37,6763,"1","Detroit R.",929,c(-83.026397, 41.969863)
"924","WB",2017,1,38,5467,"1","Detroit R.",929,c(-83.019993, 41.977315)
"925","WB",2017,1,39,3563,"1","Detroit R.",929,c(-83.013388, 41.985003)
"926","WB",2017,1,40,2307,"1","Detroit R.",929,c(-83.008382, 41.992868)
"955","WB",2017,2,29,9439.783457,"1","Detroit R.",929,c(-82.90776667, 41.818295)
"956","WB",2017,2,30,7977.051771,"1","Detroit R.",929,c(-82.90822814, 41.82721255)
"957","WB",2017,2,31,5146.952904,"1","Detroit R.",929,c(-82.9090575, 41.83621083)
"958","WB",2017,2,32,5862.646959,"1","Detroit R.",929,c(-82.90892658, 41.84513883)
"959","WB",2017,2,33,6536.309658,"1","Detroit R.",929,c(-82.90900917, 41.8541675)
"960","WB",2017,2,34,6501.789568,"1","Detroit R.",929,c(-82.90918833, 41.86315383)
"961","WB",2017,2,35,9587.140625,"1","Detroit R.",929,c(-82.9096, 41.87220167)
"962","WB",2017,2,36,14440.40683,"1","Detroit R.",929,c(-82.90972104, 41.88114146)
"963","WB",2017,2,37,8137.648359,"1","Detroit R.",929,c(-82.90945167, 41.89013912)
"964","WB",2017,2,38,9417.269267,"1","Detroit R.",929,c(-82.90890025, 41.89900883)
"965","WB",2017,2,39,8755.821068,"1","Detroit R.",929,c(-82.90911167, 41.907975)
"966","WB",2017,2,40,7136.966462,"1","Detroit R.",929,c(-82.90971333, 41.91693167)
"967","WB",2017,2,41,11910.06967,"1","Detroit R.",929,c(-82.90993775, 41.92589542)
"968","WB",2017,2,42,8595.58585,"1","Detroit R.",929,c(-82.90881133, 41.93494556)
"969","WB",2017,2,43,12605.82882,"1","Detroit R.",929,c(-82.90925842, 41.943653)
"970","WB",2017,2,44,7200.14872,"1","Detroit R.",929,c(-82.90871, 41.95264167)
"971","WB",2017,2,45,8461.450176,"1","Detroit R.",929,c(-82.90880767, 41.961625)
"1060","WB",2018,2,29,5756.108314,"1","Detroit R.",929,c(-82.91226922, 41.81611883)
"1061","WB",2018,2,30,7356.167359,"1","Detroit R.",929,c(-82.91361917, 41.82496517)
"1062","WB",2018,2,31,8306.89359,"1","Detroit R.",929,c(-82.91457415, 41.83391174)
"1063","WB",2018,2,32,10286.51627,"1","Detroit R.",929,c(-82.91546982, 41.84278841)
"1064","WB",2018,2,33,12230.44549,"1","Detroit R.",929,c(-82.91584901, 41.85168671)
"1065","WB",2018,2,34,14714.41044,"1","Detroit R.",929,c(-82.91501673, 41.86052054)
"1066","WB",2018,2,35,11054.86379,"1","Detroit R.",929,c(-82.91594, 41.86950833)
"1067","WB",2018,2,36,12327.98509,"1","Detroit R.",929,c(-82.91720012, 41.87836698)
"1068","WB",2018,2,37,12344.95303,"1","Detroit R.",929,c(-82.91836644, 41.88727771)
"1069","WB",2018,2,38,7406.961292,"1","Detroit R.",929,c(-82.91979017, 41.89607634)
"1070","WB",2018,2,39,4896.568274,"1","Detroit R.",929,c(-82.91784064, 41.90464699)
"1071","WB",2018,2,40,3479.612967,"1","Detroit R.",929,c(-82.91597462, 41.91321515)
"1072","WB",2018,2,41,4676.709255,"1","Detroit R.",929,c(-82.91503482, 41.92213299)
"1073","WB",2018,2,42,3710.599771,"1","Detroit R.",929,c(-82.91322528, 41.93097203)
"1074","WB",2018,2,43,2482.288913,"1","Detroit R.",929,c(-82.91158105, 41.93982308)
"1075","WB",2018,2,44,2052.355765,"1","Detroit R.",929,c(-82.90977445, 41.94854143)
"1076","WB",2018,2,45,2048.162565,"1","Detroit R.",929,c(-82.90875239, 41.95722652)
"1147","WB",2019,1,12,3470,"1","Detroit R.",929,c(-83.1795849, 41.790482)
"1148","WB",2019,1,13,2289,"1","Detroit R.",929,c(-83.1735007, 41.798259)
"1149","WB",2019,1,14,4316,"1","Detroit R.",929,c(-83.1679097, 41.806196)
"1150","WB",2019,1,15,2630,"1","Detroit R.",929,c(-83.1620009, 41.813954)
"1151","WB",2019,1,16,6253,"1","Detroit R.",929,c(-83.1555834, 41.821538)
"1152","WB",2019,1,17,1898,"1","Detroit R.",929,c(-83.1492137, 41.829115)
"1153","WB",2019,1,18,2068,"1","Detroit R.",929,c(-83.1425627, 41.836482)
"1154","WB",2019,1,19,1737,"1","Detroit R.",929,c(-83.1359979, 41.843986)
"1155","WB",2019,1,20,2830,"1","Detroit R.",929,c(-83.1294983, 41.851549)
"1156","WB",2019,1,21,916,"1","Detroit R.",929,c(-83.1234776, 41.858588)
"1157","WB",2019,1,22,1155,"1","Detroit R.",929,c(-83.116769, 41.867037)
"1158","WB",2019,1,23,2302,"1","Detroit R.",929,c(-83.1113479, 41.874705)
"1159","WB",2019,1,24,814,"1","Detroit R.",929,c(-83.1046622, 41.88214)
"1160","WB",2019,1,25,992,"1","Detroit R.",929,c(-83.098227, 41.889769)
"1161","WB",2019,1,26,1732,"1","Detroit R.",929,c(-83.0921517, 41.897529)
"1162","WB",2019,1,27,3521,"1","Detroit R.",929,c(-83.0862762, 41.905341)
"1163","WB",2019,1,28,3988,"1","Detroit R.",929,c(-83.07987, 41.91291)
"1164","WB",2019,1,29,7935,"1","Detroit R.",929,c(-83.073389, 41.920446)
"1165","WB",2019,1,30,3195,"1","Detroit R.",929,c(-83.066748, 41.927867)
"1166","WB",2019,1,31,4188,"1","Detroit R.",929,c(-83.0610493, 41.935755)
"1167","WB",2019,1,32,9511,"1","Detroit R.",929,c(-83.0550625, 41.943557)
"1168","WB",2019,1,33,3282,"1","Detroit R.",929,c(-83.0480619, 41.950779)
"1169","WB",2019,1,34,2881,"1","Detroit R.",929,c(-83.0417051, 41.958356)
"1170","WB",2019,1,35,2631,"1","Detroit R.",929,c(-83.035265, 41.965903)
"1171","WB",2019,1,36,2977,"1","Detroit R.",929,c(-83.0295562, 41.973814)
"1172","WB",2019,1,37,2638,"1","Detroit R.",929,c(-83.0234842, 41.981512)
"1173","WB",2019,1,38,5747,"1","Detroit R.",929,c(-83.0170265, 41.989014)
"1174","WB",2019,1,39,4454,"1","Detroit R.",929,c(-83.0116967, 41.995607)
"1203","WB",2019,2,29,4518,"1","Detroit R.",929,c(-82.9060967, 41.815352)
"1204","WB",2019,2,30,6184,"1","Detroit R.",929,c(-82.9061529, 41.824292)
"1205","WB",2019,2,31,5663,"1","Detroit R.",929,c(-82.9062494, 41.833288)
"1206","WB",2019,2,32,6025,"1","Detroit R.",929,c(-82.9062576, 41.84231)
"1207","WB",2019,2,33,6472,"1","Detroit R.",929,c(-82.9060167, 41.851212)
"1208","WB",2019,2,34,5033,"1","Detroit R.",929,c(-82.9059426, 41.860152)
"1209","WB",2019,2,35,4105,"1","Detroit R.",929,c(-82.9053978, 41.869158)
"1210","WB",2019,2,36,7964,"1","Detroit R.",929,c(-82.9044647, 41.878093)
"1211","WB",2019,2,37,4997,"1","Detroit R.",929,c(-82.9038865, 41.886964)
"1212","WB",2019,2,38,3870,"1","Detroit R.",929,c(-82.9045567, 41.895975)
"1213","WB",2019,2,39,8276,"1","Detroit R.",929,c(-82.9051461, 41.904963)
"1214","WB",2019,2,40,5677,"1","Detroit R.",929,c(-82.9059595, 41.913722)
"1215","WB",2019,2,41,7908,"1","Detroit R.",929,c(-82.90723, 41.922435)
"1216","WB",2019,2,42,3109,"1","Detroit R.",929,c(-82.9080609, 41.931179)
"1217","WB",2019,2,43,1759,"1","Detroit R.",929,c(-82.9077383, 41.939953)
"1218","WB",2019,2,44,4745,"1","Detroit R.",929,c(-82.9074346, 41.949058)
"1219","WB",2019,2,45,2209,"1","Detroit R.",929,c(-82.9069255, 41.957836)
"1","WB",2006,1,1,42145.15966,"2","Maumee R.",631,c(-83.25881971, 41.69321864)
"2","WB",2006,1,2,33751.64236,"2","Maumee R.",631,c(-83.25507698, 41.69705284)
"3","WB",2006,1,3,28199.57213,"2","Maumee R.",631,c(-83.24881212, 41.70465596)
"4","WB",2006,1,4,17008.93121,"2","Maumee R.",631,c(-83.24314778, 41.71257689)
"5","WB",2006,1,5,26960.80874,"2","Maumee R.",631,c(-83.23759516, 41.72052801)
"6","WB",2006,1,6,9524.818638,"2","Maumee R.",631,c(-83.2319002, 41.72846583)
"7","WB",2006,1,7,5540.525362,"2","Maumee R.",631,c(-83.22591994, 41.73618195)
"8","WB",2006,1,8,2605.597809,"2","Maumee R.",631,c(-83.21942525, 41.74379887)
"9","WB",2006,1,9,4506.494872,"2","Maumee R.",631,c(-83.21311333, 41.751435)
"10","WB",2006,1,10,4255.455702,"2","Maumee R.",631,c(-83.20741379, 41.75933704)
"11","WB",2006,1,11,11086.09451,"2","Maumee R.",631,c(-83.20183087, 41.76730679)
"12","WB",2006,1,12,47717.38649,"2","Maumee R.",631,c(-83.19629333, 41.77530983)
"13","WB",2006,1,13,50673.1293,"2","Maumee R.",631,c(-83.19016863, 41.78303952)
"40","WB",2006,2,1,6427.069257,"2","Maumee R.",631,c(-82.89104167, 41.571985)
"41","WB",2006,2,2,6095.168936,"2","Maumee R.",631,c(-82.89139973, 41.57837623)
"42","WB",2006,2,3,15332.96172,"2","Maumee R.",631,c(-82.89144472, 41.58740849)
"43","WB",2006,2,4,7198.432703,"2","Maumee R.",631,c(-82.89136483, 41.59641667)
"44","WB",2006,2,5,5139.903547,"2","Maumee R.",631,c(-82.89196372, 41.60532014)
"45","WB",2006,2,6,3630.980439,"2","Maumee R.",631,c(-82.89206, 41.6142815)
"46","WB",2006,2,7,4405.767432,"2","Maumee R.",631,c(-82.89252167, 41.6232832)
"47","WB",2006,2,8,5278.095541,"2","Maumee R.",631,c(-82.89286076, 41.63222538)
"48","WB",2006,2,9,9450.371233,"2","Maumee R.",631,c(-82.89338005, 41.64121488)
"49","WB",2006,2,10,12648.48042,"2","Maumee R.",631,c(-82.89392922, 41.65021029)
"50","WB",2006,2,11,11925.37338,"2","Maumee R.",631,c(-82.89452085, 41.65912265)
"51","WB",2006,2,12,7345.885034,"2","Maumee R.",631,c(-82.89440983, 41.66809167)
"52","WB",2006,2,13,22459.4776,"2","Maumee R.",631,c(-82.89481723, 41.67707863)
"53","WB",2006,2,14,50351.77718,"2","Maumee R.",631,c(-82.8959385, 41.68597252)
"54","WB",2006,2,15,39694.74118,"2","Maumee R.",631,c(-82.89677507, 41.69497508)
"111","WB",2007,1,1,5103.281805,"2","Maumee R.",631,c(-83.25471981, 41.69933613)
"112","WB",2007,1,2,9426.647537,"2","Maumee R.",631,c(-83.24841733, 41.70701187)
"113","WB",2007,1,3,19389.10955,"2","Maumee R.",631,c(-83.24203642, 41.71463961)
"114","WB",2007,1,4,30974.03046,"2","Maumee R.",631,c(-83.23580783, 41.72233308)
"115","WB",2007,1,5,22196.12691,"2","Maumee R.",631,c(-83.22930825, 41.72986242)
"116","WB",2007,1,6,47698.70081,"2","Maumee R.",631,c(-83.2228386, 41.73733789)
"117","WB",2007,1,7,16294.27614,"2","Maumee R.",631,c(-83.216691, 41.74506733)
"118","WB",2007,1,8,39781.53688,"2","Maumee R.",631,c(-83.21047651, 41.75275178)
"119","WB",2007,1,9,17619.13603,"2","Maumee R.",631,c(-83.20429954, 41.76039046)
"120","WB",2007,1,10,24478.7039,"2","Maumee R.",631,c(-83.19813353, 41.76796804)
"121","WB",2007,1,11,27627.12403,"2","Maumee R.",631,c(-83.19189389, 41.77568241)
"122","WB",2007,1,12,17916.4525,"2","Maumee R.",631,c(-83.185515, 41.78325833)
"135","WB",2007,2,1,19625.77411,"2","Maumee R.",631,c(-82.891169, 41.573649)
"136","WB",2007,2,2,17364.94013,"2","Maumee R.",631,c(-82.891355, 41.58095111)
"137","WB",2007,2,3,18534.56379,"2","Maumee R.",631,c(-82.89185275, 41.58988167)
"138","WB",2007,2,4,18139.37093,"2","Maumee R.",631,c(-82.8923163, 41.59890685)
"139","WB",2007,2,5,20925.52989,"2","Maumee R.",631,c(-82.89288259, 41.60784278)
"140","WB",2007,2,6,46239.07304,"2","Maumee R.",631,c(-82.89346167, 41.61683667)
"141","WB",2007,2,7,58100.64917,"2","Maumee R.",631,c(-82.89367333, 41.62590556)
"142","WB",2007,2,8,63243.90587,"2","Maumee R.",631,c(-82.89404667, 41.63478449)
"143","WB",2007,2,9,64503.86048,"2","Maumee R.",631,c(-82.89454459, 41.643771)
"144","WB",2007,2,10,68527.73618,"2","Maumee R.",631,c(-82.89495042, 41.65276779)
"145","WB",2007,2,11,106642.9342,"2","Maumee R.",631,c(-82.89527, 41.66171333)
"146","WB",2007,2,12,124063.4812,"2","Maumee R.",631,c(-82.89582083, 41.6707325)
"147","WB",2007,2,13,179023.6005,"2","Maumee R.",631,c(-82.89627333, 41.67969834)
"148","WB",2007,2,14,91933.52031,"2","Maumee R.",631,c(-82.89655958, 41.68864083)
"149","WB",2007,2,15,62759.62642,"2","Maumee R.",631,c(-82.89705667, 41.69762033)
"206","WB",2008,2,1,25546.39392,"2","Maumee R.",631,c(-82.89111572, 41.57287512)
"207","WB",2008,2,2,28511.84903,"2","Maumee R.",631,c(-82.89164067, 41.58036141)
"208","WB",2008,2,3,19966.09375,"2","Maumee R.",631,c(-82.89230762, 41.58931801)
"209","WB",2008,2,4,25623.40749,"2","Maumee R.",631,c(-82.893195, 41.59829529)
"210","WB",2008,2,5,12916.12406,"2","Maumee R.",631,c(-82.89328951, 41.60729828)
"211","WB",2008,2,6,24058.67798,"2","Maumee R.",631,c(-82.89348494, 41.61628721)
"212","WB",2008,2,7,20815.47971,"2","Maumee R.",631,c(-82.89362333, 41.62526833)
"213","WB",2008,2,8,16856.79382,"2","Maumee R.",631,c(-82.89383167, 41.63402833)
"214","WB",2008,2,9,11943.83448,"2","Maumee R.",631,c(-82.89388167, 41.64331498)
"215","WB",2008,2,10,14216.40762,"2","Maumee R.",631,c(-82.89386129, 41.65226299)
"216","WB",2008,2,11,11586.76453,"2","Maumee R.",631,c(-82.89342333, 41.66126727)
"217","WB",2008,2,12,17452.65119,"2","Maumee R.",631,c(-82.89343167, 41.67024659)
"218","WB",2008,2,13,8891.069051,"2","Maumee R.",631,c(-82.89339534, 41.67922618)
"219","WB",2008,2,14,6265.068151,"2","Maumee R.",631,c(-82.89293483, 41.68598358)
"326","WB",2011,1,1,752.5922205,"2","Maumee R.",631,c(-83.25881971, 41.69321864)
"327","WB",2011,1,2,1539.252441,"2","Maumee R.",631,c(-83.25507698, 41.69705284)
"328","WB",2011,1,3,2871.791764,"2","Maumee R.",631,c(-83.24881212, 41.70465596)
"329","WB",2011,1,4,1745.996149,"2","Maumee R.",631,c(-83.24314778, 41.71257689)
"330","WB",2011,1,5,1239.467,"2","Maumee R.",631,c(-83.23759516, 41.72052801)
"331","WB",2011,1,6,1869.183565,"2","Maumee R.",631,c(-83.2319002, 41.72846583)
"332","WB",2011,1,7,1133.210511,"2","Maumee R.",631,c(-83.22591994, 41.73618195)
"333","WB",2011,1,8,1791.007741,"2","Maumee R.",631,c(-83.21942525, 41.74379887)
"334","WB",2011,1,9,2730.669931,"2","Maumee R.",631,c(-83.21311333, 41.751435)
"335","WB",2011,1,10,2229.354643,"2","Maumee R.",631,c(-83.20741379, 41.75933704)
"336","WB",2011,1,11,463.3648941,"2","Maumee R.",631,c(-83.20183087, 41.76730679)
"337","WB",2011,1,12,403.7046638,"2","Maumee R.",631,c(-83.19629333, 41.77530983)
"338","WB",2011,1,13,371.1735814,"2","Maumee R.",631,c(-83.19016863, 41.78303952)
"365","WB",2011,2,1,15.66035336,"2","Maumee R.",631,c(-82.89099233, 41.57019787)
"366","WB",2011,2,2,414.4667864,"2","Maumee R.",631,c(-82.8911587, 41.57491259)
"367","WB",2011,2,3,339.5790524,"2","Maumee R.",631,c(-82.89153375, 41.58390003)
"368","WB",2011,2,4,269.2883896,"2","Maumee R.",631,c(-82.89209865, 41.59288445)
"369","WB",2011,2,5,262.6689345,"2","Maumee R.",631,c(-82.8923302, 41.60186956)
"370","WB",2011,2,6,291.9682427,"2","Maumee R.",631,c(-82.89269817, 41.61079834)
"371","WB",2011,2,7,172.2618818,"2","Maumee R.",631,c(-82.89316333, 41.61979362)
"372","WB",2011,2,8,146.0982363,"2","Maumee R.",631,c(-82.89338167, 41.62874147)
"373","WB",2011,2,9,628.9148156,"2","Maumee R.",631,c(-82.89393092, 41.63773842)
"374","WB",2011,2,10,275.9215523,"2","Maumee R.",631,c(-82.89439706, 41.6466565)
"375","WB",2011,2,11,356.8160932,"2","Maumee R.",631,c(-82.894735, 41.655605)
"376","WB",2011,2,12,452.2133245,"2","Maumee R.",631,c(-82.89516592, 41.66459957)
"377","WB",2011,2,13,214.213248,"2","Maumee R.",631,c(-82.89546267, 41.67364917)
"378","WB",2011,2,14,294.0639931,"2","Maumee R.",631,c(-82.89583042, 41.68257746)
"379","WB",2011,2,15,362.4319188,"2","Maumee R.",631,c(-82.896212, 41.69155767)
"380","WB",2011,2,16,452.1550484,"2","Maumee R.",631,c(-82.89656398, 41.70061825)
"436","WB",2013,2,1,38128.24859,"2","Maumee R.",631,c(-82.8913355, 41.57498658)
"437","WB",2013,2,2,40819.34019,"2","Maumee R.",631,c(-82.89169814, 41.58349451)
"438","WB",2013,2,3,51578.51902,"2","Maumee R.",631,c(-82.89184067, 41.59246635)
"439","WB",2013,2,4,42439.83845,"2","Maumee R.",631,c(-82.89212333, 41.60146548)
"440","WB",2013,2,5,44203.05728,"2","Maumee R.",631,c(-82.89242333, 41.61045458)
"441","WB",2013,2,6,27792.02834,"2","Maumee R.",631,c(-82.89274933, 41.61938067)
"442","WB",2013,2,7,25902.49321,"2","Maumee R.",631,c(-82.89322073, 41.62839031)
"443","WB",2013,2,8,27361.60764,"2","Maumee R.",631,c(-82.89360037, 41.6374113)
"444","WB",2013,2,9,20305.27198,"2","Maumee R.",631,c(-82.89392283, 41.646388)
"445","WB",2013,2,10,14009.37744,"2","Maumee R.",631,c(-82.89429, 41.65536)
"446","WB",2013,2,11,13693.35051,"2","Maumee R.",631,c(-82.89464917, 41.66435708)
"447","WB",2013,2,12,10400.33058,"2","Maumee R.",631,c(-82.8951775, 41.67333083)
"448","WB",2013,2,13,11540.49927,"2","Maumee R.",631,c(-82.89579233, 41.682287)
"449","WB",2013,2,14,13156.3854,"2","Maumee R.",631,c(-82.896325, 41.69128833)
"450","WB",2013,2,15,21472.64812,"2","Maumee R.",631,c(-82.89644333, 41.700275)
"539","WB",2014,1,1,29668.14016,"2","Maumee R.",631,c(-83.23889643, 41.71289452)
"540","WB",2014,1,2,26406.94473,"2","Maumee R.",631,c(-83.23571589, 41.716908)
"541","WB",2014,1,3,20702.08535,"2","Maumee R.",631,c(-83.22964017, 41.72465733)
"542","WB",2014,1,4,11701.51246,"2","Maumee R.",631,c(-83.22355667, 41.73244833)
"543","WB",2014,1,5,8515.540651,"2","Maumee R.",631,c(-83.21769192, 41.74025958)
"544","WB",2014,1,6,3933.576342,"2","Maumee R.",631,c(-83.21173167, 41.74809)
"545","WB",2014,1,7,4340.31729,"2","Maumee R.",631,c(-83.20568833, 41.75587755)
"546","WB",2014,1,8,2499.72852,"2","Maumee R.",631,c(-83.19959867, 41.763664)
"547","WB",2014,1,9,1347.274845,"2","Maumee R.",631,c(-83.19318467, 41.771243)
"548","WB",2014,1,10,1447.844316,"2","Maumee R.",631,c(-83.18672353, 41.77886736)
"577","WB",2014,2,1,9163.175637,"2","Maumee R.",631,c(-82.89059533, 41.57166378)
"578","WB",2014,2,2,16095.08277,"2","Maumee R.",631,c(-82.89092408, 41.57754067)
"579","WB",2014,2,3,14165.2242,"2","Maumee R.",631,c(-82.89113066, 41.58654855)
"580","WB",2014,2,4,14051.59394,"2","Maumee R.",631,c(-82.89153063, 41.59554409)
"581","WB",2014,2,5,11781.66474,"2","Maumee R.",631,c(-82.89193051, 41.60453748)
"582","WB",2014,2,6,10287.54327,"2","Maumee R.",631,c(-82.89233049, 41.61353302)
"583","WB",2014,2,7,7499.469216,"2","Maumee R.",631,c(-82.89273037, 41.62252641)
"584","WB",2014,2,8,2996.787614,"2","Maumee R.",631,c(-82.89313025, 41.6315198)
"585","WB",2014,2,9,4108.329509,"2","Maumee R.",631,c(-82.89353022, 41.64051533)
"586","WB",2014,2,10,3006.88345,"2","Maumee R.",631,c(-82.8939301, 41.64950872)
"587","WB",2014,2,11,6635.121626,"2","Maumee R.",631,c(-82.89433008, 41.65850424)
"588","WB",2014,2,12,9611.540959,"2","Maumee R.",631,c(-82.89472996, 41.66749765)
"589","WB",2014,2,13,11789.39312,"2","Maumee R.",631,c(-82.89512993, 41.67649317)
"590","WB",2014,2,14,8345.477181,"2","Maumee R.",631,c(-82.89552981, 41.68548658)
"591","WB",2014,2,15,6769.73676,"2","Maumee R.",631,c(-82.89592969, 41.69447997)
"682","WB",2015,1,1,66239.86066,"2","Maumee R.",631,c(-83.25631833, 41.69608833)
"683","WB",2015,1,2,54015.21943,"2","Maumee R.",631,c(-83.25109, 41.70246633)
"684","WB",2015,1,3,37202.41423,"2","Maumee R.",631,c(-83.24484148, 41.71016636)
"685","WB",2015,1,4,52607.50615,"2","Maumee R.",631,c(-83.23855667, 41.71782931)
"686","WB",2015,1,5,107481.3186,"2","Maumee R.",631,c(-83.23229567, 41.72549767)
"687","WB",2015,1,6,122413.7356,"2","Maumee R.",631,c(-83.22601778, 41.733195)
"688","WB",2015,1,7,64835.37609,"2","Maumee R.",631,c(-83.21969167, 41.7408355)
"689","WB",2015,1,8,97929.30893,"2","Maumee R.",631,c(-83.21343872, 41.74854936)
"690","WB",2015,1,9,75865.8453,"2","Maumee R.",631,c(-83.2072602, 41.75625608)
"691","WB",2015,1,10,56776.20909,"2","Maumee R.",631,c(-83.20096048, 41.76393381)
"692","WB",2015,1,11,36755.0724,"2","Maumee R.",631,c(-83.19467658, 41.77159808)
"693","WB",2015,1,12,34576.54274,"2","Maumee R.",631,c(-83.18817667, 41.77920167)
"803","WB",2016,1,1,44092.02981,"2","Maumee R.",631,c(-83.25730211, 41.69505134)
"804","WB",2016,1,2,59588.86732,"2","Maumee R.",631,c(-83.25288778, 41.70049556)
"805","WB",2016,1,3,42161.1982,"2","Maumee R.",631,c(-83.24695667, 41.70824199)
"806","WB",2016,1,4,43442.9381,"2","Maumee R.",631,c(-83.24061333, 41.71591542)
"807","WB",2016,1,5,29558.09257,"2","Maumee R.",631,c(-83.23429148, 41.72358037)
"808","WB",2016,1,6,12227.07557,"2","Maumee R.",631,c(-83.22790061, 41.73120649)
"809","WB",2016,1,7,5976.061247,"2","Maumee R.",631,c(-83.22160867, 41.73886767)
"810","WB",2016,1,8,5862.090928,"2","Maumee R.",631,c(-83.21538167, 41.74656667)
"811","WB",2016,1,9,5089.78827,"2","Maumee R.",631,c(-83.20897842, 41.75415175)
"812","WB",2016,1,10,5718.971193,"2","Maumee R.",631,c(-83.20269666, 41.76185851)
"813","WB",2016,1,11,5643.449461,"2","Maumee R.",631,c(-83.19633833, 41.76951)
"814","WB",2016,1,12,5603.221454,"2","Maumee R.",631,c(-83.1900885, 41.77716042)
"843","WB",2016,2,1,15697.1554,"2","Maumee R.",631,c(-82.89124125, 41.57485625)
"844","WB",2016,2,2,20453.94254,"2","Maumee R.",631,c(-82.89162583, 41.58381917)
"845","WB",2016,2,3,16623.04227,"2","Maumee R.",631,c(-82.89199667, 41.59279667)
"846","WB",2016,2,4,15309.30319,"2","Maumee R.",631,c(-82.89237625, 41.60183083)
"847","WB",2016,2,5,18239.4485,"2","Maumee R.",631,c(-82.89282108, 41.61074984)
"848","WB",2016,2,6,25195.76196,"2","Maumee R.",631,c(-82.89327633, 41.619719)
"849","WB",2016,2,7,24927.94001,"2","Maumee R.",631,c(-82.89374, 41.62868875)
"850","WB",2016,2,8,22233.24069,"2","Maumee R.",631,c(-82.89401, 41.63766333)
"851","WB",2016,2,9,27847.32768,"2","Maumee R.",631,c(-82.89428912, 41.64666049)
"852","WB",2016,2,10,27208.77893,"2","Maumee R.",631,c(-82.894765, 41.65564667)
"853","WB",2016,2,11,18622.74461,"2","Maumee R.",631,c(-82.89514833, 41.66465067)
"854","WB",2016,2,12,16107.90365,"2","Maumee R.",631,c(-82.89521987, 41.67363167)
"855","WB",2016,2,13,14145.553,"2","Maumee R.",631,c(-82.89572667, 41.68266)
"856","WB",2016,2,14,10959.11933,"2","Maumee R.",631,c(-82.89625244, 41.69161467)
"857","WB",2016,2,15,11065.15728,"2","Maumee R.",631,c(-82.89673667, 41.70060333)
"887","WB",2017,1,1,5098,"2","Maumee R.",631,c(-83.256386, 41.697045)
"888","WB",2017,1,2,5834,"2","Maumee R.",631,c(-83.250096, 41.704046)
"889","WB",2017,1,3,14092,"2","Maumee R.",631,c(-83.243874, 41.711714)
"890","WB",2017,1,4,16314,"2","Maumee R.",631,c(-83.237673, 41.719463)
"891","WB",2017,1,5,12894,"2","Maumee R.",631,c(-83.230927, 41.726928)
"892","WB",2017,1,6,7368,"2","Maumee R.",631,c(-83.224343, 41.734622)
"893","WB",2017,1,7,2089,"2","Maumee R.",631,c(-83.218306, 41.742221)
"894","WB",2017,1,8,2473,"2","Maumee R.",631,c(-83.212221, 41.749967)
"895","WB",2017,1,9,6040,"2","Maumee R.",631,c(-83.205343, 41.757371)
"896","WB",2017,1,10,5051,"2","Maumee R.",631,c(-83.19904, 41.765037)
"897","WB",2017,1,11,2797,"2","Maumee R.",631,c(-83.192764, 41.772683)
"898","WB",2017,1,12,4163,"2","Maumee R.",631,c(-83.186268, 41.780246)
"927","WB",2017,2,1,13308.04602,"2","Maumee R.",631,c(-82.89139071, 41.57126)
"928","WB",2017,2,2,12508.97872,"2","Maumee R.",631,c(-82.89164533, 41.57636233)
"929","WB",2017,2,3,8258.072185,"2","Maumee R.",631,c(-82.8926425, 41.58537)
"930","WB",2017,2,4,6278.233978,"2","Maumee R.",631,c(-82.89301425, 41.59432308)
"931","WB",2017,2,5,4352.09387,"2","Maumee R.",631,c(-82.893545, 41.60327667)
"932","WB",2017,2,6,6408.84724,"2","Maumee R.",631,c(-82.89521333, 41.61220667)
"933","WB",2017,2,7,7785.729446,"2","Maumee R.",631,c(-82.89494167, 41.62116492)
