"","Basin","Year","Transect","Interval","NperHa","STRATUM","name","area_km2","geometry"
"200","WB",2008,1,13,833.1523826,"1","Detroit R.",929,c(-83.04444642, 41.95603435)
"201","WB",2008,1,14,1554.797652,"1","Detroit R.",929,c(-83.03840831, 41.96378241)
"202","WB",2008,1,15,2298.096843,"1","Detroit R.",929,c(-83.03168203, 41.9711708)
"203","WB",2008,1,16,1157.544409,"1","Detroit R.",929,c(-83.02475043, 41.97854832)
"204","WB",2008,1,17,474.4082174,"1","Detroit R.",929,c(-83.01804836, 41.98600971)
"205","WB",2008,1,18,236.0472087,"1","Detroit R.",929,c(-83.01199128, 41.99381151)
"223","WB",2008,2,18,7777.581679,"1","Detroit R.",929,c(-82.90194333, 41.82285833)
"224","WB",2008,2,19,10215.55798,"1","Detroit R.",929,c(-82.90261333, 41.831845)
"225","WB",2008,2,20,3343.276715,"1","Detroit R.",929,c(-82.90291053, 41.84084324)
"226","WB",2008,2,21,2608.237543,"1","Detroit R.",929,c(-82.90343725, 41.84983959)
"227","WB",2008,2,22,2344.156058,"1","Detroit R.",929,c(-82.90293841, 41.85874768)
"228","WB",2008,2,23,1738.584428,"1","Detroit R.",929,c(-82.90318901, 41.8676829)
"229","WB",2008,2,24,1808.339854,"1","Detroit R.",929,c(-82.90272423, 41.87655581)
"230","WB",2008,2,25,2869.844574,"1","Detroit R.",929,c(-82.90265242, 41.88517906)
"231","WB",2008,2,26,4976.048418,"1","Detroit R.",929,c(-82.90326212, 41.89393864)
"232","WB",2008,2,27,8660.924355,"1","Detroit R.",929,c(-82.90395398, 41.90278567)
"233","WB",2008,2,28,2419.366083,"1","Detroit R.",929,c(-82.90472846, 41.91166869)
"234","WB",2008,2,29,1679.052847,"1","Detroit R.",929,c(-82.90539482, 41.92061401)
"235","WB",2008,2,30,1336.384866,"1","Detroit R.",929,c(-82.90573476, 41.92958167)
"236","WB",2008,2,31,1684.700195,"1","Detroit R.",929,c(-82.90592891, 41.93846515)
