year,Agency,SITE,SAM,trldate,secchi,secchi2,trldist,knots,grdepn,sitem_n,xo2surfn,btemn,xo2botn,sidepn,grtemn,xgro2n,sidep2n,sitem2n,xo2surf2n,btem2n,xobot2n,grtem2n,xgro22n,ha,month,day,TL_MODE,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total,ID,strata,AREA,PERIMETER
2015,ON,12,109,8/25/2015,2.1,2,0.49,3.1,9,22.85,10.01,23.04,8.82,10.8,23.04,8.82,10.8,22.56,9.95,23.06,8.82,23.1,8.82,0.272,8,25,MIDDLE,0,1759.45,6038.7,0,7.35,3.67,7809.17,0,Pidgeon Bay,290988370.2,91099.594
2015,ON,12,110,8/25/2015,2.1,2,0.49,3.1,10.8,22.85,10.01,23.04,8.82,10.8,23.04,8.82,10.8,22.56,9.95,23.06,8.82,23,8.82,0.272,8,25,BOTTOM,0,286.51,8819.29,0,62.44,367.32,9535.56,0,Pidgeon Bay,290988370.2,91099.594
2016,ON,12,105,8/30/2016,2.2,2.2,0.47,2.8,4,25.7,7.63,25.39,7.46,10.8,25.6,7.78,NA,25.71,7.63,24.3,3.92,25.6,6.68,0.261,8,30,TOP,0,34.47,704.62,0,0,0,739.09,0,Pidgeon Bay,290988370.2,91099.594
2016,ON,12,106,8/30/2016,2.2,2,0.47,2.7,8,25.71,7.63,24.3,3.92,10.9,25.34,4.41,NA,25.84,5.91,25.36,4.51,NA,NA,0.261,8,30,MIDDLE,0,210.62,2370.45,0,0,3.83,2584.9,0,Pidgeon Bay,290988370.2,91099.594
2016,ON,12,107,8/30/2016,2,2,0.46,2.6,10.9,25.85,4.27,25.32,4.05,10.9,25.32,4.05,NA,25.87,4.03,24.76,3.22,NA,NA,0.256,8,30,BOTTOM,0,524.31,2363.29,0,7.83,66.52,2961.94,0,Pidgeon Bay,290988370.2,91099.594
2016,ON,19,108,8/30/2016,2.1,1.9,0.47,2.7,4,25.89,4.93,24.34,3.78,8.3,25.65,5.13,NA,25.86,5.35,25.95,5.3,25.9,5.36,0.261,8,30,TOP,0,0,0,0,0,61.27,61.27,0,Pidgeon Bay,290988370.2,91099.594
2016,ON,19,109,8/30/2016,1.9,2.7,0.47,2.7,8.6,25.88,5.11,21.41,1.37,8.6,21.41,1.37,9.2,25.82,5.36,18.97,0.92,18.9,0.83,0.261,8,30,BOTTOM,0,11.49,0,0,0,7.66,19.15,0,Pidgeon Bay,290988370.2,91099.594
2017,ON,19,104,8/29/2017,1.8,1.8,0.49,2.9,8.6,22.66,9.63,22.07,9.37,8.6,NA,NA,8.1,22.67,9.64,22.27,9.24,NA,NA,0.272,8,29,BOTTOM,11.02,2916.5,3.67,0,29.39,88.16,3048.74,0,Pidgeon Bay,290988370.2,91099.594
2017,ON,19,105,8/29/2017,2,1.8,0.48,2.9,4,22.7,9.58,22.06,9.43,9,22.6,9.58,NA,22.76,9.83,22.31,9.45,22.5,9.86,0.267,8,29,TOP,0,116.24,566.2,0,11.25,0,693.69,0,Pidgeon Bay,290988370.2,91099.594
2017,ON,12,106,8/30/2017,2,NA,0.48,2.9,11.2,22.7,104.1,22.7,8.96,11.2,22.7,8.96,NA,22.7,8.97,22.7,8.9,NA,NA,0.267,8,30,BOTTOM,0,71.24,142.49,116.24,738.69,3457.22,4525.89,0,Pidgeon Bay,290988370.2,91099.594
2017,ON,12,107,8/30/2017,2,1.8,0.5,2.9,8,22.7,8.9,22.7,8.7,11.2,22.7,8.9,11.2,22.7,9.04,22.7,8.9,NA,NA,0.278,8,30,MIDDLE,0,18,46.8,0,629.95,71.99,766.74,0,Pidgeon Bay,290988370.2,91099.594
2012,ON,18,103,8/27/2012,1.5,1.6,0.5,3,12.1,24.4,8.22,24.3,7.95,12.1,24.3,7.95,11.9,24.3,8.2,24.3,8.01,24.3,8.01,0.278,8,27,BOTTOM,0,79.19,8282.94,0,208.78,16778.26,25349.17,0,Central Basin,650277990.9,179233.111
2012,ON,18,104,8/27/2012,1.5,1.6,0.5,3,9,24.4,8.22,24.3,7.95,12.4,24.3,8.07,12,24.3,8.2,24.3,8.01,24.3,8.03,0.278,8,27,MIDDLE,3.6,10.8,5662.35,0,3.6,212.38,5892.73,0,Central Basin,650277990.9,179233.111
2012,ON,18,105,8/27/2012,1.5,1.6,0.5,3,6,24.4,8.22,24.3,7.95,12.2,24.3,8.07,11.9,24.3,8.2,24.3,8.01,24.3,8.03,0.278,8,27,TOP,0,93.59,2976.96,0,0,10.8,3081.35,0,Central Basin,650277990.9,179233.111
2013,ON,18,116,8/29/2013,1.9,2.2,0.49,3,6,23.7,9.24,23.2,7.77,12.5,23.5,9.02,12.4,23.9,9.34,23.2,7.22,23.5,8.87,0.272,8,29,TOP,0,157.95,33940.14,0,0,0,34098.09,0,Central Basin,650277990.9,179233.111
2013,ON,18,117,8/29/2013,1.9,2.2,0.49,3,9,23.7,9.27,23.2,7.77,12.5,23.5,8.65,12.4,23.4,9.34,23.2,7.22,23.5,8.51,0.272,8,29,MIDDLE,22.04,36.73,18450.36,0,0,0,18509.13,0,Central Basin,650277990.9,179233.111
2013,ON,18,118,8/29/2013,1.9,2.2,0.49,3,12.5,23.7,9.27,23.2,7.77,12.5,23.2,7.77,12.5,23.9,9.34,23.2,7.22,23.2,7.22,0.272,8,29,BOTTOM,0,66.12,13987.45,0,135.91,0,14189.48,0,Central Basin,650277990.9,179233.111
2014,ON,18,101,8/25/2014,2,NA,0.43,2.8,10,23.68,11.45,22.3,6.95,12.1,23.51,11.27,11.9,24.22,11.68,23.5,10.8,NA,NA,0.239,8,25,MIDDLE,0,364.16,11565.12,0,87.9,16.74,12033.92,0,Central Basin,650277990.9,179233.111
2014,ON,18,102,8/25/2014,2,NA,0.44,0.63,12.1,23.68,11.45,22.3,6.95,12.1,23.51,11.27,11.9,24.22,11.68,23.5,10.8,23.5,10.8,0.244,8,25,BOTTOM,0,61.36,1938.94,0,3170.2,2147.56,7318.05,0,Central Basin,650277990.9,179233.111
2014,ON,18,103,8/25/2014,2,NA,0.44,3,6,23.68,11.45,22.3,6.95,12.2,23.59,11.48,12,24.22,11.68,23.5,10.8,NA,NA,0.244,8,25,TOP,0,2712.06,5612.28,0,118.63,20.45,8463.41,0,Central Basin,650277990.9,179233.111
2015,ON,18,101,8/24/2015,1.8,1.8,0.51,3.1,5,23.89,8.11,23.9,7.85,12.7,23.91,8.05,12.7,23.78,8.43,23.82,8.01,23.8,8.18,0.283,8,24,TOP,0,448.2,614.07,0,7.06,0,1069.33,0,Central Basin,650277990.9,179233.111
2015,ON,18,102,8/24/2015,1.8,1.8,0.51,3.1,9,23.89,8.11,23.9,7.85,12.7,23.9,7.97,12.8,23.78,8.43,23.82,8.01,23.8,8.1,0.283,8,24,MIDDLE,0,0,91.76,0,70.58,0,162.34,0,Central Basin,650277990.9,179233.111
2015,ON,18,103,8/24/2015,1.8,1.8,0.5,3.1,12.7,23.89,8.11,23.9,7.85,12.7,23.9,7.85,NA,23.78,8.43,23.82,8.01,23.8,8.01,0.278,8,24,BOTTOM,0,39.6,8340.53,0,54,28.8,8462.92,0,Central Basin,650277990.9,179233.111
2016,ON,18,101,8/29/2016,2.8,NA,0.44,2.7,2,25.2,8.11,23.9,4.53,12.5,25.22,8.14,12.9,NA,NA,NA,NA,NA,NA,0.244,8,29,TOP,0,0,0,0,24.54,0,24.54,0,Central Basin,650277990.9,179233.111
2016,ON,18,102,8/29/2016,2.9,2.5,0.48,2.7,6,25.19,7.87,24.08,4.75,12.6,25.21,7.75,NA,25.22,7363,24.81,6.56,25.2,7.49,0.267,8,29,MIDDLE,0,0,0,0,3.75,0,3.75,0,Central Basin,650277990.9,179233.111
2016,ON,18,103,8/29/2016,4.7,3.4,0.47,4.7,10,25.25,7.04,24.23,4.14,12.1,24.27,5.45,12.1,25.3,6.6,24.86,5.86,24.9,6.12,0.261,8,29,MIDDLE,0,0,0,0,3.83,0,3.83,0,Central Basin,650277990.9,179233.111
2016,ON,18,104,8/29/2016,4.4,3.4,0.46,2.7,12,25.3,6.03,24.88,5.5,12.2,24.92,5.59,12,25.35,5.75,24.73,4.55,24.7,4.46,0.256,8,29,BOTTOM,0,0,0,0,15.65,982.1,997.75,0,Central Basin,650277990.9,179233.111
2017,ON,18,101,8/29/2017,2,1.5,0.47,2.9,12.4,22.27,9.08,21.69,6.59,12.4,21.69,6.59,1.2,22.07,9.19,22.03,8.97,22,8.97,0.261,8,29,BOTTOM,3.83,559.1,0,417.41,8551.23,670.16,10201.74,0,Central Basin,650277990.9,179233.111
2017,ON,18,102,8/29/2017,2.1,1.8,0.48,3,8,22.04,9.4,22.04,9.03,11.9,22.06,9.1,11.7,22.13,9.79,22.07,8.86,22.1,9.01,0.267,8,29,MIDDLE,18.75,30,2688.53,15,4409.65,26.25,7188.17,0,Central Basin,650277990.9,179233.111
2017,ON,18,103,8/29/2017,2,1.8,0.49,2.9,4,22.04,9.18,21.99,8.87,11.6,22.01,9.09,11.5,22.3,9.57,21.99,8.76,22.2,9.28,0.272,8,29,TOP,11.02,205.7,113.87,0,1439.88,3.67,1774.14,0,Central Basin,650277990.9,179233.111
2012,ON,8,111,8/29/2012,1.8,1.9,0.4,3,11,23.7,8.24,24,8.18,11,24,8.18,10.2,24.4,8.56,23.8,3.31,23.8,3.31,0.222,8,29,BOTTOM,0,170.99,6362.49,4.5,134.99,9278.26,15951.22,0,Detroit R.,1066406006,353171.391
2012,ON,8,112,8/29/2012,1.8,1.9,0.4,3,8,23.7,8.24,23.7,8.18,10.6,23.7,8.23,10.2,24.4,8.56,23.8,3.31,23.9,8.26,0.222,8,29,MIDDLE,0,9,6483.98,0,0,4.5,6497.48,0,Detroit R.,1066406006,353171.391
2012,ON,8,113,8/29/2012,1.8,1.9,0.4,3,5,23.7,8.24,23.7,8.18,10.6,23.7,8.24,10.2,24.4,8.56,23.8,3.31,24,8.28,0.222,8,29,TOP,0,0,2614.29,0,0,0,2614.29,0,Detroit R.,1066406006,353171.391
2012,ON,24,114,8/29/2012,2,2.8,0.5,3,8.9,23.8,8.45,23.8,7.67,8.9,23.8,7.67,8.7,24.1,8.62,23.9,8.32,23.9,8.32,0.278,8,29,BOTTOM,0,590.35,1108.71,0,0,7.2,1706.26,0,Detroit R.,1066406006,353171.391
2012,ON,24,115,8/29/2012,2,2.8,0.5,3,6,23.8,8.45,23.8,7.67,8.7,23.8,8.45,8.7,24.1,8.62,23.9,8.32,23.9,8.57,0.278,8,29,MIDDLE,0,97.19,3120.95,0,0,0,3218.14,0,Detroit R.,1066406006,353171.391
2012,ON,24,116,8/29/2012,2,2.8,0.5,3,3,23.8,8.45,23.8,7.67,8.8,23.8,8.48,8,24.1,8.62,23.9,8.32,24,8.63,0.278,8,29,TOP,0,7.2,1616.27,0,0,0,1623.47,0,Detroit R.,1066406006,353171.391
2012,ON,1,117,8/29/2012,1.9,2,0.4,3,6.1,24.7,8.7,24.3,8.55,6,24.3,8.55,5.7,24.6,8.72,23.9,8.24,23.9,8.24,0.222,8,29,BOTTOM,0,157.49,6758.46,0,0,18,6933.95,0,Detroit R.,1066406006,353171.391
2012,ON,1,118,8/29/2012,1.9,2,0.4,3,3,24.7,8.7,24.3,8.55,6,24.4,8.9,5.6,24.6,8.72,23.9,8.24,24,8.49,0.222,8,29,TOP,0,0,11361.59,0,0,4.5,11366.09,0,Detroit R.,1066406006,353171.391
2013,ON,24,109,8/28/2013,2.7,2.3,0.47,3,5,24.1,8.96,23.7,8.15,9.2,23.9,8.43,9.3,24,8.82,23.8,8.41,24.1,8.32,0.261,8,28,TOP,61.27,11.49,17244.15,0,0,0,17316.91,0,Detroit R.,1066406006,353171.391
2013,ON,24,110,8/28/2013,2.7,2.3,0.5,3,6,24.1,8.96,23.9,8.15,9.1,23.9,8.41,9.3,24,8.82,23.8,8.41,NA,NA,0.278,8,28,MIDDLE,21.6,3.6,5158.39,0,3.6,0,5187.19,0,Detroit R.,1066406006,353171.391
2013,ON,24,111,8/28/2013,2.7,2.3,0.48,3,9.1,24.1,8.96,23.9,8.15,9.1,23.9,8.15,9.2,24,8.82,23.8,8.41,23.8,8.41,0.267,8,28,BOTTOM,378.72,15,7259.42,0,472.46,3794.7,11920.3,0,Detroit R.,1066406006,353171.391
2013,ON,1,112,8/28/2013,1.7,2,0.5,3,3,24.3,8.7,24.1,8.31,6.6,24.3,8.54,7.4,24.5,8.67,21.1,8.19,24.3,8.45,0.278,8,28,TOP,0,3.6,28.8,0,36,0,68.39,0,Detroit R.,1066406006,353171.391
2013,ON,1,113,8/28/2013,3,2,0.49,3,7,24.3,8.7,24.1,8.39,NA,24.1,8.39,NA,24.4,8.59,24.1,8.19,24.1,8.19,0.272,8,28,BOTTOM,0,0,0,0,58.77,18.37,77.14,0,Detroit R.,1066406006,353171.391
2014,ON,1,112,8/27/2014,1.3,1.4,0.49,2.9,6.2,24.03,8.96,24.01,8.83,6.2,24.01,8.83,6.6,23.95,8.96,23.84,8.95,NA,NA,0.272,8,27,BOTTOM,0,14.69,2277.37,3.67,7.35,157.95,2461.03,0,Detroit R.,1066406006,353171.391
2014,ON,1,113,8/27/2014,1.3,NA,0.48,2.9,1,24.03,8.96,24.01,8.83,6.2,24.03,8.96,6.6,NA,NA,NA,NA,NA,NA,0.267,8,27,TOP,0,0,1503.63,0,11.25,15,1529.88,0,Detroit R.,1066406006,353171.391
2014,ON,24,114,8/27/2014,2.4,2.4,0.46,2.9,9,23.97,8.92,23.15,7.77,9,23.15,7.77,NA,23.82,8.14,23.8,7.46,23.8,7.46,0.256,8,27,BOTTOM,0,649.51,35.21,0,3.91,7434.19,8122.83,0,Detroit R.,1066406006,353171.391
2014,ON,24,115,8/27/2014,2.4,NA,0.49,2.9,3,23.97,8.92,23.8,7.77,9,23.8,8.92,9.1,NA,8.14,NA,NA,23.8,8.14,0.272,8,27,MIDDLE,0,58.77,1219.49,0,0,0,1278.27,0,Detroit R.,1066406006,353171.391
2014,ON,24,116,8/27/2014,2.4,NA,0.47,2.9,0.1,23.97,8.92,23.82,7.77,9.2,23.97,8.92,9.2,NA,8.14,NA,NA,23.8,8.14,0.261,8,27,TOP,0,114.88,8551.23,0,7.66,0,8673.77,0,Detroit R.,1066406006,353171.391
2014,ON,8,118,8/27/2014,NA,NA,0.46,2.9,5,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256,8,27,MIDDLE,0,0,0,0,3.91,0,3.91,0,Detroit R.,1066406006,353171.391
2014,ON,8,119,8/27/2014,NA,NA,0.46,2.9,2,NA,NA,NA,NA,10.3,NA,NA,10.3,NA,NA,NA,NA,NA,NA,0.256,8,27,TOP,0,0,3.91,0,0,0,3.91,0,Detroit R.,1066406006,353171.391
2015,ON,1,116,8/27/2015,2,2,0.49,3.1,5,20.97,9.49,20.9,9.37,6.6,20.91,9.41,7.6,21.18,9.46,21.03,9.28,21,9.35,0.272,8,27,TOP,0,3.67,205.7,0,859.52,0,1068.89,0,Detroit R.,1066406006,353171.391
2015,ON,1,117,8/27/2015,2,2,0.51,3.1,7,20.94,9.49,20.9,9.37,6.6,20.9,9.37,7.6,21.18,9.46,21.03,9.28,21,9.28,0.283,8,27,BOTTOM,0,7.06,38.82,0,155.28,264.68,465.85,0,Detroit R.,1066406006,353171.391
2015,ON,24,118,8/27/2015,2.2,2.8,0.5,3.1,5,21.54,9.76,21.58,9.42,9,21.65,9.62,9.4,21.68,10.04,21.64,9.51,21.7,9.66,0.278,8,27,TOP,0,3.6,23056.16,0,14.4,3.6,23077.75,0,Detroit R.,1066406006,353171.391
