RSYOY,RSYAO,ES,YPYOY,OTHER,LONG,Sdepth,Fdepth,Year,EW,depthcat,Layer
0.5648,0.3241,0,0.0556,0.0555,-81.893,20,16.5,2016,0,1,1
0.1746,0.3757,0.3069,0.119,0.0238,-81.892,22.9,14,2012,0,1,1
0,0,0,0,1,-81.872,22,9.1,2017,0,1,0
0.8529,0,0,0.0294,0.1177,-81.866,20,13.1,2016,0,1,0
0.0222,0.0222,0.4444,0.0222,0.489,-81.86,21.9,10,2012,0,1,0
0.0745,0.9192,0,0,0.0063,-81.85,21.6,11.9,2013,0,1,0
0.0421,0,0,0.1034,0.8545,-81.843,22,14.6,2017,0,1,1
0.7,0,0,0,0.3,-81.837,20,7.3,2016,0,1,0
0.016,0.947,0.0007,0.016,0.0203,-81.836,13.9,9,2019,0,0,0
0.1055,0.0835,0.8022,0.0011,0.0077,-81.832,12,9,2013,0,0,0
0,0.874,0.1221,0,0.0039,-81.83,11.9,7,2011,0,0,0
0.5679,0.0679,0.3501,0.007,0.0071,-81.829,10.9,8,2015,0,0,0
0.0061,0,0.9602,0.0122,0.0215,-81.829,11.9,4,2012,0,0,0
0.0328,0.0031,0.9407,0,0.0234,-81.829,11.9,6,2013,0,0,0
0.3559,0,0.0847,0.4068,0.1526,-81.828,13,6,2019,0,0,0
0,0.9945,0.0038,0.0011,0.0006,-81.827,11.3,9,2010,0,0,0
0.0306,0.9648,0.0004,0.0008,0.0034,-81.827,13.4,10,2017,0,0,0
0,0,0.8262,0.0071,0.1667,-81.826,21,3,2012,0,1,0
0,0.0039,0.9953,0,0.0008,-81.825,17.3,5,2011,0,0,0
0.3143,0.0143,0.0357,0.1,0.5357,-81.823,17.6,13,2018,0,0,0
0.2717,0.0109,0.0543,0.0217,0.6414,-81.822,14.4,10,2018,0,0,0
0.1304,0.7391,0,0,0.1305,-81.821,20.1,7.6,2013,0,1,0
0.0163,0.4262,0.5048,0.051,0.0017,-81.82,18.9,6,2010,0,0,0
0.5893,0.3988,0.006,0,0.0059,-81.818,18.2,5,2017,0,0,0
0.693,0.06,0.2326,0.0096,0.0048,-81.816,13.9,6,2015,0,0,0
0.8905,0.0448,0,0.0299,0.0348,-81.816,19.1,8,2017,0,0,0
0.0106,0.6867,0.2708,0.0265,0.0054,-81.815,19.4,9,2010,0,0,0
0,0.8671,0.1329,0,0,-81.814,19.4,17,2010,0,0,1
0.2836,0,0,0.6866,0.0298,-81.813,20.9,13,2019,0,1,0
0.0092,0.9309,0,0.0369,0.023,-81.813,20.9,19,2019,0,1,1
0.0535,0,0.893,0.0033,0.0502,-81.812,19,10,2012,0,0,0
0,0,0.9964,0.0018,0.0018,-81.812,19.8,5,2011,0,1,0
