RSYOY,RSYAO,ES,YPYOY,OTHER,LONG,Sdepth,Fdepth,Year,EW,depthcat,Layer
0.9465,0.0267,0,0.016,0.0108,-80.935,20.5,15,2013,1,1,0
0.003,0.9901,0,0,0.0069,-80.931,20.6,19,2013,1,1,1
0.0058,0.0466,0,0.0029,0.9447,-80.925,20.7,19,2010,1,1,1
0.75,0,0.25,0,0,-80.925,20.7,6,2010,1,1,0
0,0,1,0,0,-80.925,21.5,5,2011,1,1,0
0,0.9615,0,0,0.0385,-80.923,20.9,17,2009,1,1,1
0.2447,0.7553,0,0,0,-80.923,20.9,15,2015,1,1,1
0.9552,0.0448,0,0,0,-80.922,20.9,8,2015,1,1,0
0,0.9857,0.0143,0,0,-80.922,21.2,15,2011,1,1,1
0,0.0233,0.9535,0,0.0232,-80.922,21.2,11,2011,1,1,0
0.1,0.5,0.4,0,0,-80.922,21.3,13,2012,1,1,1
0,0.9933,0,0,0.0067,-80.92,21.4,17,2009,1,1,1
0.1429,0.1429,0,0,0.7142,-80.919,20.6,17,2010,1,1,1
0.9587,0,0,0,0.0413,-80.919,20.6,16,2016,1,1,1
1,0,0,0,0,-80.918,20.7,13,2016,1,1,0
0.7719,0,0,0.2281,0,-80.918,21.6,5,2019,1,1,0
0.9333,0,0,0.0667,0,-80.918,21.7,15,2019,1,1,0
0.1,0.1,0.1,0.1,0.6,-80.917,20.7,16,2010,1,1,1
0.1475,0.8197,0,0,0.0328,-80.917,20.7,19,2015,1,1,1
0,1,0,0,0,-80.917,20.9,13,2009,1,1,1
0.0898,0.9102,0,0,0,-80.917,21,19,2015,1,1,1
0,1,0,0,0,-80.917,21.2,15,2011,1,1,1
0,0,0,0.9583,0.0417,-80.916,21.3,8,2018,1,1,0
0.0228,0.9544,0,0,0.0228,-80.915,20.8,19,2013,1,1,1
0.792,0.1277,0,0.0693,0.011,-80.915,20.8,19,2017,1,1,1
1,0,0,0,0,-80.914,21.9,17,2019,1,1,1
0.8563,0,0,0.1438,-1.00E-04,-80.913,21.8,8,2019,1,1,0
0.9446,0.0153,0,0.0357,0.0044,-80.912,20.7,17,2017,1,1,1
0.211,0.633,0,0,0.156,-80.9,20.6,18,2016,1,1,1
0.8905,0.0286,0,0.0733,0.0076,-80.895,20.9,18,2017,1,1,1
0.001,0.9979,0,0,0.0011,-80.892,20.7,13.7,2009,1,1,1
0.9288,0,0,0.0279,0.0433,-80.89,20.8,7,2017,1,1,0
0,0,0,0.625,0.375,-80.888,21.2,12,2018,1,1,0
0.16,0.6,0,0.24,0,-80.887,21.1,18,2018,1,1,1
0.0032,0.9808,0,0.0032,0.0128,-80.883,21,15,2018,1,1,1
0.6818,0,0.3182,0,0,-80.846,21.9,13.7,2009,1,1,1
0.0455,0,0.9545,0,0,-80.753,20.1,7.6,2009,1,1,0
0.1045,0,0.0414,0.7586,0.0955,-80.585,18.5,5,2014,1,0,0
0.3223,0.4885,0.0102,0.133,0.046,-80.585,18.5,13,2014,1,0,0
0.5806,0.0027,0.0067,0.2503,0.1597,-80.581,18.7,10,2014,1,0,0
0.1211,0,0,0.8316,0.0473,-80.554,20.7,5,2014,1,1,0
0.4724,0.1102,0.0079,0.3543,0.0552,-80.553,20.5,14,2014,1,1,0
0.2838,0.3784,0,0.2432,0.0946,-80.551,20.5,17,2014,1,1,1
0.7409,0.0016,0.0016,0.1892,0.0667,-80.551,20.6,11,2014,1,1,0
