Basin,Year,type,TRANSECT,LAYER,Interval,Lat_M,Lon_M,NperHa
CB,2016,transect,57850,2,170,41.8374,-81.1625,0
CB,2016,transect,57850,2,169,41.8417,-81.1644,0
CB,2012,transect,57850,4,167,41.8545,-81.1699,0
CB,2012,transect,57850,4,166,41.8587,-81.1718,0
CB,2012,transect,57850,4,165,41.8629,-81.174,0
CB,2012,transect,57850,4,164,41.8672,-81.1757,0
CB,2010,transect,57850,11,163,41.8786,-81.1803,0
CB,2010,transect,57850,12,149,41.9387,-81.2052,0
CB,2019,transect,57975,1,11,42.4479,-81.2765,0
CB,2010,transect,57850,3,101,42.1445,-81.2906,0
CB,2018,transect,57975,2,9,42.5737,-81.2938,0
CB,2017,transect,57975,2,9,42.5737,-81.2938,0
CB,2018,transect,57725,2,158,41.7594,-81.3575,0
CB,2017,transect,57725,2,158,41.7594,-81.3575,0
CB,2012,transect,57725,2,1,41.7621,-81.3625,0
CB,2010,transect,57850,12,57,42.3326,-81.3722,0
CB,2010,transect,57850,12,54,42.3454,-81.3776,0
CB,2010,transect,57725,2,10,41.7981,-81.3776,0
CB,2010,transect,57850,12,53,42.3497,-81.3795,0
CB,2010,transect,57725,2,11,41.8024,-81.3795,0
CB,2010,transect,57850,12,52,42.354,-81.3814,0
CB,2010,transect,57725,2,12,41.8066,-81.3815,0
CB,2010,transect,57850,12,51,42.3582,-81.3835,0
CB,2010,transect,57725,2,13,41.8109,-81.3835,0
CB,2010,transect,57850,12,50,42.3625,-81.385,0
CB,2010,transect,57850,11,23,42.4767,-81.4336,0
CB,2012,transect,57850,4,18,42.4883,-81.4379,0
CB,2012,transect,57850,4,17,42.4925,-81.44,0
CB,2010,transect,57850,10,18,42.4981,-81.4426,0
CB,2010,transect,57850,9,17,42.5024,-81.4441,0
CB,2010,transect,57850,9,16,42.5051,-81.447,0
CB,2010,transect,57850,9,13,42.5178,-81.4503,0
CB,2010,transect,57850,9,12,42.5222,-81.4516,0
CB,2010,transect,57850,3,9,42.5345,-81.4566,0
CB,2013,transect,57850,2,6,42.5389,-81.4599,0
CB,2010,transect,57850,3,7,42.5427,-81.4607,0
CB,2010,transect,57850,7,5,42.5506,-81.4643,0
CB,2010,transect,57850,3,4,42.5547,-81.4665,0
CB,2010,transect,57850,7,4,42.5547,-81.4665,0
CB,2012,transect,57850,3,1,42.5611,-81.4668,0
CB,2018,transect,57850,2,3,42.5534,-81.4669,0
CB,2017,transect,57850,2,3,42.5534,-81.4669,0
CB,2018,transect,57850,2,2,42.5577,-81.4685,0
CB,2017,transect,57850,2,2,42.5577,-81.4685,0
CB,2010,transect,57850,7,3,42.5589,-81.4686,0
CB,2011,transect,57850,2,2,42.5599,-81.4694,0
CB,2010,transect,57850,7,2,42.5633,-81.4699,0
CB,2018,transect,57600,2,2,41.6325,-81.544,0
CB,2017,transect,57600,2,2,41.6325,-81.544,0
CB,2018,transect,57600,2,3,41.6369,-81.5454,0
CB,2017,transect,57600,2,3,41.6369,-81.5454,0
CB,2018,transect,57600,2,5,41.6453,-81.5495,0
CB,2017,transect,57600,2,5,41.6453,-81.5495,0
CB,2010,transect,57600,2,137,41.668,-81.5611,0
CB,2010,transect,57600,2,136,41.6731,-81.5623,0
CB,2010,transect,57600,2,135,41.6759,-81.5645,0
CB,2010,transect,57600,2,134,41.6802,-81.5673,0
CB,2010,transect,57600,2,133,41.6841,-81.57,0
CB,2010,transect,57600,2,132,41.6882,-81.5719,0
CB,2012,transect,57600,4,20,41.7033,-81.5749,0
