"","Year","mu","se","rse","Reps","EDSUs","perc_er","perc","Year_labs"
"235",3,5236.05057168823,836.303798860278,16.0286177501943,100,62,0.296096299836999,0.568807339449541,2008
"236",3,5228.10652672975,846.582032161216,16.2626792001479,100,61,0.143928805032183,0.559633027522936,2008
"237",3,5183.08715298215,839.936178524337,16.2430148954855,100,60,0.718413409377004,0.55045871559633,2008
"238",3,5268.68838447771,872.294528976476,16.6222950113831,100,59,0.921270783874668,0.541284403669725,2008
"239",3,5138.00387764974,856.329778247415,16.7208835541666,100,58,1.58197965312194,0.532110091743119,2008
"240",3,5269.26147402319,885.015183618395,16.8483321840403,100,57,0.93224826460275,0.522935779816514,2008
"241",3,5240.27311435218,879.377766246825,16.8428279563232,100,56,0.376978739732418,0.513761467889908,2008
"242",3,5127.30902312029,881.723546755501,17.2563952226349,100,55,1.7868386675857,0.504587155963303,2008
"243",3,5199.85168276611,887.609552481931,17.1293124777464,100,54,0.397290289840062,0.495412844036697,2008
"244",3,5237.0259144376,909.508154014665,17.4443147607777,100,53,0.314778905930586,0.486238532110092,2008
"245",3,5124.59655558765,910.422800926553,17.8185447573667,100,52,1.83879574881303,0.477064220183486,2008
"246",3,5245.46840889784,926.616979822409,17.7500464930974,100,51,0.476494157875132,0.467889908256881,2008
"247",3,5207.25299368832,938.211462698751,18.0911579513203,100,50,0.255518818607014,0.458715596330275,2008
"248",3,5165.44799963855,930.215221399868,18.076714219483,100,49,1.05628986763031,0.44954128440367,2008
"249",3,5323.55629036494,961.665207534414,18.1466161796976,100,48,1.97226078049368,0.440366972477064,2008
"250",3,5171.50115340389,950.310147807479,18.46479744722,100,47,0.940342230254672,0.431192660550459,2008
"251",3,5232.56331142248,970.66967378709,18.661472822891,100,46,0.229298130749936,0.422018348623853,2008
"252",3,5235.12058481507,977.458179841219,18.7791744436981,100,45,0.278282481633573,0.412844036697248,2008
"253",3,5232.32935607323,995.859997029376,19.1231003286392,100,44,0.224816736249044,0.403669724770642,2008
"254",3,5215.05175123179,1004.5683659686,19.369357304485,100,43,0.10613429168354,0.394495412844037,2008
"255",3,5255.30521707845,1014.53011728294,19.3947283527181,100,42,0.664917368663051,0.385321100917431,2008
"256",3,5388.45550406449,1059.14938926652,19.8042421548106,100,41,3.21539961154112,0.376146788990826,2008
"257",3,5126.99677553545,1029.21155090727,20.1977724345819,100,40,1.79281974309478,0.36697247706422,2008
"258",3,5400.93271920921,1066.25359538818,19.9451177572591,100,39,3.45439958959229,0.357798165137615,2008
"259",3,5068.97231204871,1047.23274728681,20.8426988107786,100,38,2.90427332780223,0.348623853211009,2008
"260",3,5276.93844853349,1081.46216951521,20.6084629102804,100,37,1.07930004804791,0.339449541284404,2008
"261",3,5178.81908656736,1085.15488646376,21.0551096730874,100,36,0.800167852786379,0.330275229357798,2008
"262",3,5156.13133215049,1097.19548905451,21.4449833696148,100,35,1.2347498283933,0.321100917431193,2008
"263",3,5247.33258742274,1126.94737355472,21.7247333305771,100,34,0.512202336452265,0.311926605504587,2008
"264",3,5040.76425612285,1122.24371479767,22.4146487291472,100,33,3.44459620185332,0.302752293577982,2008
"265",3,5201.81923745838,1130.07205114973,21.9428744527024,100,32,0.359601949708765,0.293577981651376,2008
"266",3,5238.09759839826,1182.49600989505,22.7967247453867,100,31,0.335306919602172,0.284403669724771,2008
"267",3,5297.69884509587,1193.7874881561,22.7486175521288,100,30,1.47696365047793,0.275229357798165,2008
"268",3,5252.07173876072,1225.42242107162,23.4528949264108,100,29,0.602980370863245,0.26605504587156,2008
"269",3,5328.50526852893,1249.01954505717,23.7155486710658,100,28,2.06705802962746,0.256880733944954,2008
"270",3,5210.12020482322,1249.33361299622,24.1303899143826,100,27,0.200597637048331,0.247706422018349,2008
"271",3,5370.61305344442,1293.49296241033,24.3951342508751,100,26,2.87362901152223,0.238532110091743,2008
"272",3,5306.77737891888,1313.6879504222,24.9587994855084,100,25,1.65086218146189,0.229357798165138,2008
"273",3,5154.34099902367,1292.25257026236,25.2935502981123,100,24,1.26904350475065,0.220183486238532,2008
"274",3,5217.99057951143,1348.06717330259,26.0472320051419,100,23,0.0498412899051448,0.211009174311927,2008
"275",3,5142.21150108541,1373.13215442298,27.1356736577294,100,22,1.50138298975526,0.201834862385321,2008
"276",3,5261.02588464891,1411.40131929154,27.1938426064441,100,21,0.774496261702753,0.192660550458716,2008
"277",3,5264.09943083675,1465.31218572047,28.1034061653821,100,20,0.833369773372961,0.18348623853211,2008
"278",3,5144.53960714774,1465.10947553812,28.6563775218217,100,19,1.45678831928245,0.174311926605505,2008
"279",3,5171.74301325767,1504.79227279677,29.5843621404505,100,18,0.935709425652633,0.165137614678899,2008
"280",3,4844.03705998429,1467.14985298643,30.3630292036755,100,17,7.21288864642909,0.155963302752294,2008
"281",3,4989.41086193581,1551.29087892519,31.3064404688398,100,16,4.4282660305131,0.146788990825688,2008
"282",3,4921.52290245327,1586.65411432343,32.2640004092353,100,15,5.72865402880272,0.137614678899083,2008
"283",3,5166.69333710464,1684.50507977258,33.1782124116319,100,14,1.03243553606592,0.128440366972477,2008
