Lat_M,Lon_M,Date_M,Time_M,LAYER,TRANSECT,FishDensity,Targets_Binned,BottomDepth,N_YAOSized,YAO_FishDens,Stratum,ScaleDensity
42.29022028,-80.07157343,###############################################################################################################################################################################################################################################################,3:35:13,LO,T1B,423.0419286,103,23.91527,57,234.1105818,1,-247.5418933
42.29022028,-80.07157343,###############################################################################################################################################################################################################################################################,3:35:13,LO,T1B,423.0419286,103,23.91527,57,234.1105818,1,-247.5418933
42.29437724,-80.2446313,###############################################################################################################################################################################################################################################################,4:17:15,LO,T1A,1308.908694,39,21.18124,6,201.3705683,1,-254.0898961
42.29491446,-80.00529371,###############################################################################################################################################################################################################################################################,7:51:08,LO,T21A,322.3228533,43,27.658105,18,134.9258456,2.1,-267.3788406
42.29713599,-80.07432311,###############################################################################################################################################################################################################################################################,3:30:35,LO,T1B,640.558305,116,24.865145,62,342.3673699,1,-225.8905357
42.29713599,-80.07432311,###############################################################################################################################################################################################################################################################,3:30:35,LO,T1B,640.558305,116,24.865145,62,342.3673699,1,-225.8905357
42.30133333,-80.24696667,###############################################################################################################################################################################################################################################################,4:12:45,LO,T1A,1385.300652,60,21.486404,13,300.1484745,1,-234.3343148
42.30187925,-80.00755975,###############################################################################################################################################################################################################################################################,7:55:40,LO,T21A,1365.625278,109,28.600674,68,851.9497147,2.1,-123.9740668
42.30395244,-80.07710637,###############################################################################################################################################################################################################################################################,3:26:01,LO,T1B,759.9354327,140,25.702312,86,466.8174801,1,-201.0005137
42.30395244,-80.07710637,###############################################################################################################################################################################################################################################################,3:26:01,LO,T1B,759.9354327,140,25.702312,86,466.8174801,1,-201.0005137
42.3083205,-80.24910128,###############################################################################################################################################################################################################################################################,4:08:14,LO,T1A,2466.013741,108,22.129181,43,981.8388043,1,-97.99624886
42.30886887,-80.00982972,###############################################################################################################################################################################################################################################################,8:00:12,LO,T21A,2659.269682,257,29.251085,184,1903.912924,2.1,86.41857516
42.31083333,-80.07996667,###############################################################################################################################################################################################################################################################,3:21:28,LO,T1B,656.8601555,124,26.625869,70,370.8081523,1,-220.2023793
42.31083333,-80.07996667,###############################################################################################################################################################################################################################################################,3:21:28,LO,T1B,656.8601555,124,26.625869,70,370.8081523,1,-220.2023793
