year,Agency,grid,Latitude,Longitude,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total
2012,ON,77,41.8998,-82.6315,11,23.7,23.7,1.9,8.4,8.8,0,4,0,36,29,6880,6948
2010,ON,77,41.9003,-82.6308,11,24.2,24.3,1.7,8.1,,0,0,7,0,7,849,864
2009,ON,77,41.9007,-82.6263,11,24.4,24.7,2.2,7.3,,0,0,0,0,0,7,7
2007,ON,77,41.901,-82.6307,11,24.4,22.9,2,7.1,,0,811,745,4,31,9584,11175
2016,ON,77,41.9018,-82.6273,11,17.6,25.7,1.5,6.3,6.6,0,0,0,0,40,32,72
2007,ON,42,41.9383,-82.798,11,24.9,24.9,2,8,,0,38,569,54,165,4337,5163
2011,ON,42,41.9387,-82.794,11,23.9,24.6,1.6,9.9,,0,7,93,26,4,89,219
2011,ON,67,41.9497,-82.6937,11,22,24.1,2.3,6.1,,0,38,0,0,0,92,131
2013,ON,63,41.7258,-82.7347,10.9,22.1,22.5,2.6,7.7,8.3,4,61,1058,0,154,613,1889
2016,ON,63,41.7267,-82.7353,10.9,25.9,26,2.3,7.9,8.3,0,0,0,0,75,656,731
2017,ON,63,41.7268,-82.7382,10.9,23.4,23.8,2.3,7.2,7.5,0,0,0,18,165,889,1072
2017,ON,102,41.8127,-82.5403,10.9,23.5,23.6,2,8.1,8.2,0,4,0,46,434,480,964
2008,ON,31,41.8877,-82.8777,10.9,23.5,23.7,2.5,8.5,,0,0,108,0,41,2797,2945
2007,ON,59,41.8923,-82.7197,10.9,25.1,25.1,2,7.1,,0,896,386,139,566,10485,12473
2006,ON,67,41.9473,-82.7003,10.9,24.6,24.7,1.5,8.1,,0,0,4,12,68,1936,2020
2010,ON,67,41.9477,-82.697,10.9,24.5,24.5,1.4,8,,0,0,4,0,4,1601,1609
2014,ON,67,41.9502,-82.6943,10.9,22.9,22.9,1.6,8.3,8.2,0,0,8,0,25,1336,1369
2019,OH,969,41.6607,-82.7621,10.8,22.2,23.8,2.4,2.8,,0,18,0,0,0,977,995
2017,ON,64,41.6993,-82.7195,10.8,23.5,23.7,1.3,6.3,7.8,0,0,0,0,1354,327,1681
2011,ON,63,41.7263,-82.7357,10.8,24,24.3,1.8,7.2,,0,54,15,4,123,522,718
2009,ON,63,41.7265,-82.7342,10.8,23.3,24.7,1.9,6.3,,0,0,4,0,459,11025,11488
2013,ON,95,41.815,-82.5425,10.8,22.4,23.3,3.3,7.9,8.1,0,0,7,0,315,0,323
2016,ON,95,41.8153,-82.5433,10.8,19.4,25.1,1.5,3.8,3.6,0,0,0,0,373,54,427
2015,ON,95,41.8163,-82.5452,10.8,23.4,25.6,2.1,7.2,7.9,0,0,0,0,246,2224,2470
2015,ON,37,41.8882,-82.875,10.8,23.6,24.4,2.8,7.7,8.2,0,15,0,0,19,1020,1053
2015,ON,42,41.9367,-82.7957,10.8,23.5,23.5,2.1,8.7,8.6,0,11,0,18,7,247,283
2009,ON,42,41.937,-82.7975,10.8,23.1,23.5,2.5,6.5,,0,0,7,0,4,59,70
2008,ON,42,41.9388,-82.7952,10.8,22.4,23.3,3.6,7,,0,0,16,0,48,279,343
2006,ON,42,41.9398,-82.7987,10.8,24.7,24.7,1.4,6.8,,0,12,4,8,66,803,894
2016,ON,42,41.9405,-82.7935,10.8,25.9,26.3,0.8,8,8,0,0,0,11,0,70,82
2016,ON,67,41.9495,-82.695,10.8,26,26.1,1.6,8.4,8.3,0,72,0,29,65,2901,3065
2006,ON,66,41.9743,-82.6983,10.8,24.7,24.7,1.5,7.4,,0,8,120,16,44,370,558
2018,ON,66,41.9758,-82.6942,10.8,24.9,25.3,2.5,6.5,6.7,0,232,0,3,1107,15617,16960
2012,ON,31,41.8887,-82.8782,10.7,23.5,24,2.7,8.3,7.4,4,864,89,263,274,7043,8538
2015,ON,64,41.7023,-82.7193,10.7,23.5,25,1.2,6.8,,0,7,26,4,208,760,1005
2019,OH,931,41.7699,-82.9711,10.7,23.9,24.4,2.1,7.7,,0,9,0,0,185,2457,2651
