year,Agency,grid,Latitude,Longitude,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total
2011,ON,87,41.8018,-82.5867,9.8,21.5,21.8,3.3,7,,0,0,0,0,22,54,75
2019,ON,54,41.7805,-82.7772,9.7,24.6,25,1.8,6.7,6.7,0,0,0,0,237,7158,7396
2019,OH,8,41.8917,-83.0959,9.7,23.8,24.9,1.8,7.4,,0,9,0,4,122,1397,1532
2019,ON,56,42.0012,-82.7473,9.7,23,23,2,8.3,8.3,0,0,0,9,26,370,404
2019,ON,65,42.0143,-82.7057,9.6,23,23,1.9,8.4,8.4,0,12,0,96,171,534,813
2008,OH,996,41.4533,-82.5983,9.5,23.5,23.6,1.4,8.7,,0,19,6,116,784,2344,3269
2012,OH,996,41.4567,-82.5967,9.5,23.4,24.3,1.2,4.4,,0,755,788,0,65,6132,7741
2012,OH,975,41.6367,-82.74,9.5,23.6,23.7,1.5,5.9,,0,677,571,0,70,2320,3638
2011,OH,975,41.6367,-82.7417,9.5,21.1,25.9,1.5,3.8,,0,0,0,0,526,30,556
2006,OH,975,41.6367,-82.7467,9.5,24.3,24.9,2.1,8.9,,0,9,6,4,988,4253,5261
2008,OH,975,41.6367,-82.7467,9.5,22.7,22.7,1.5,8,,0,0,236,4,458,2311,3009
2017,ON,54,41.7618,-82.7678,9.5,23.5,23.7,2,8.4,8.2,0,0,0,0,223,953,1175
2007,OH,34,41.765,-82.89,9.5,23.6,25,1.5,7.7,,0,1116,87,54,739,15263,17260
2008,OH,34,41.765,-82.89,9.5,23.1,23.3,1.8,7.4,,0,11,760,0,153,68080,69004
2013,OH,34,41.765,-82.8933,9.5,21.8,22.8,1.2,7.3,,0,947,0,0,69,2528,3545
2007,OH,931,41.765,-82.9683,9.5,23.3,23.5,1.8,7.9,,0,51,0,147,1735,11157,13089
2009,OH,34,41.7667,-82.8933,9.5,23.7,24.2,1.8,8.1,,0,14039,701,0,890,13240,28870
2016,OH,931,41.7669,-82.9698,9.5,25.1,25.2,2.7,8.1,,0,0,0,0,4,5962,5966
2018,OH,931,41.7677,-82.9695,9.5,24,24,1.8,7.9,,0,0,0,16,431,2323,2770
2011,OH,34,41.7683,-82.8917,9.5,24.2,25.4,1.2,6.2,,0,0,21,0,143,2142,2306
2017,OH,931,41.7685,-82.9692,9.5,23.7,23.7,2.4,8.6,,0,0,0,4,141,5233,5378
2015,OH,931,41.7697,-82.9693,9.5,22,22.8,1.8,8.2,,0,38,0,12,11,2407,2468
2011,OH,931,41.77,-82.97,9.5,24.7,26.3,1.2,7.3,,0,22,42,0,206,4793,5064
2015,ON,87,41.8047,-82.586,9.5,22.2,23.4,1,9.9,9.8,0,4,0,0,3127,3238,6369
2010,ON,99,41.9322,-82.5265,9.5,25.4,25.5,,8.5,,0,11,18,0,4,749,782
2019,ON,11,41.94,-83.048,9.5,23.8,24.4,2.1,8.1,8.2,0,0,0,0,176,2379,2556
2019,ON,20,41.9733,-82.98,9.5,24.1,25.2,,7,7.3,0,4,0,0,168,2285,2457
2019,ON,82,42.0042,-82.585,9.5,23.2,25,,5.5,6.5,0,187,0,4,52,829,1072
2017,ON,87,41.8065,-82.5868,9.4,23.2,23.9,3.1,7.5,7.9,4,0,0,2081,297,2040,4421
2006,ON,54,41.7612,-82.7687,9.4,24.3,24.8,2.2,7.8,,0,0,0,12,177,1375,1563
2006,ON,87,41.8042,-82.5955,9.4,24,24.2,3.1,7.2,,0,0,3,0,1058,538,1600
2013,ON,87,41.8047,-82.5858,9.4,22,22.8,3.5,8.1,8.5,0,0,0,4,178,41,223
2016,ON,87,41.8055,-82.5862,9.4,26.2,26.5,4.3,8.8,9,0,4,0,0,11,118,133
2014,ON,87,41.8062,-82.5873,9.4,22.9,23,2.2,9.6,9.7,0,0,0,3,7,645,656
2018,ON,83,42,-82.5915,9.4,25,25,1.5,8.3,8.1,0,0,364,0,90,10860,11315
2019,OH,943,41.6353,-82.9275,9.3,24.1,24.2,0.9,8.1,,0,0,0,4,72,3455,3531
2019,OH,896,41.8911,-83.1901,9.3,24.1,25.1,0.9,5.9,,0,0,0,0,23,1736,1759
2018,ON,11,41.9438,-83.0455,9.3,24.5,25.6,2,6.5,7.6,0,0,0,28,4146,3404,7578
2018,ON,21,41.9477,-82.9817,9.3,24.4,24.4,2,8.5,8.4,0,0,0,50,499,4041,4591
2017,ON,49,41.9992,-82.7517,9.3,23.5,24.1,3.1,8.1,8.2,0,4,0,123,327,1900,2354
2006,OH,996,41.4533,-82.5983,9.2,24.2,24.4,1.2,8.4,,0,0,87,0,63,521,672
2015,OH,969,41.6598,-82.7638,9.2,23.4,24.5,1.2,5.9,,0,0,0,40,192,3506,3738
2014,OH,969,41.6598,-82.7638,9.2,22.3,22.6,3.1,8.6,,0,210,0,0,15,1330,1555
2008,OH,969,41.66,-82.76,9.2,22.8,22.8,1.8,7.8,,0,10,6,0,1757,8500,10273
2017,OH,969,41.66,-82.7659,9.2,23.7,24.1,1.8,7.3,,0,0,0,4,10,1871,1885
2016,OH,969,41.661,-82.7625,9.2,25.1,25.1,2.1,7.1,,0,0,0,4,138,1270,1412
2009,OH,969,41.6617,-82.7633,9.2,23.4,23.5,1.5,7.6,,0,954,0,0,17095,3293,21342
2015,OH,958,41.6723,-82.8677,9.2,24.4,24.4,0.9,8.7,,0,186,12,125,204,3107,3634
2014,OH,958,41.6723,-82.8677,9.2,22.2,22.5,1.5,9.2,,0,0,0,0,107,16270,16377
2009,OH,958,41.6733,-82.8667,9.2,23.4,23.6,1.6,8.5,,0,756,801,52,5377,12825,19810
2017,OH,958,41.6734,-82.8671,9.2,23.8,24,2.4,8.3,,0,198,0,4,39,10187,10429
2018,OH,958,41.6745,-82.8639,9.2,24,24.1,0.9,7.5,,0,0,0,0,134,2679,2813
2006,OH,34,41.765,-82.89,9.2,24.9,25.2,1.8,8.6,,0,3020,103,30,536,4123,7813
2012,OH,34,41.765,-82.8933,9.2,23.4,23.5,2.1,7.3,,0,3561,0,0,249,12916,16726
2015,ON,54,41.7657,-82.7683,9.2,23.9,24.5,1.5,7,7.1,0,18,50,0,276,674,1018
2010,OH,931,41.7667,-82.97,9.2,24.7,24.7,1.3,7.4,,0,0,230,0,41,1584,1854
2012,OH,931,41.7667,-82.9717,9.2,23.3,23.4,1.8,7.2,,0,181,0,0,226,9098,9505
2013,OH,931,41.7667,-82.9717,9.2,21.6,22.8,2.1,6.1,,0,0,0,0,53,1726,1779
2009,OH,931,41.7683,-82.9717,9.2,24.6,24.8,3.1,7,,0,12171,288,0,3,2043,14504
2014,OH,931,41.7697,-82.9693,9.2,22.4,23.4,3.1,8.6,,0,0,0,0,12,112,124
2008,ON,87,41.8027,-82.5865,9.2,20,21.5,3,4.7,,0,0,0,0,22,7,29
2012,ON,87,41.8058,-82.5867,9.2,23.4,24.6,2.5,7.6,7.3,0,26,260,4,4,527,820
2017,OH,918,41.8369,-83.054,9.2,23.4,23.5,1.8,9.3,,0,0,0,4,394,5070,5468
2018,OH,918,41.8383,-83.0544,9.2,23.9,23.9,2.7,8,,0,9,0,8,146,7797,7960
2015,OH,918,41.8392,-83.0528,9.2,22,22.5,1.2,8.3,,0,76,0,16,138,2807,3037
2015,OH,905,41.8475,-83.134,9.2,21.8,22.2,1.5,8.5,,0,128,6,4,120,1329,1588
2017,ON,21,41.9487,-82.982,9.2,23.4,24.1,2.7,7.5,7.6,0,4,0,30,159,3601,3794
2015,ON,21,41.9513,-82.9813,9.2,23.2,24.6,2.2,8.1,8.5,0,32,4,18,32,4682,4769
2018,ON,56,42.0002,-82.7463,9.2,24.7,24.7,1.5,8.1,8.1,0,0,0,116,777,7932,8824
2018,ON,54,41.7653,-82.7727,9.1,25,25.3,2,8,8.4,0,143,0,0,516,3901,4561
2013,ON,54,41.7662,-82.7677,9.1,22.2,23.8,1.3,5.9,6.9,0,0,0,0,165,247,412
2007,ON,87,41.8035,-82.5867,9.1,24.8,24.9,3.1,8.6,,0,0,0,0,255,2131,2386
2006,ON,21,41.9507,-82.9822,9.1,24.2,24.3,3.1,7.8,,0,37,0,91,2453,4439,7020
2013,ON,21,41.9517,-82.9818,9.1,20.9,23.4,3,7.7,7.1,0,0,0,12,749,1721,2482
2017,ON,91,41.9703,-82.549,9.1,17.8,24.5,2,2.7,4.2,0,0,0,39,215,283,538
2016,ON,57,41.997,-82.7487,9.1,25.4,25.4,1.5,8.7,8.6,0,0,15,197,70,771,1053
2006,ON,49,41.9987,-82.7508,9.1,24.4,24.4,1.6,8,,0,15,42,146,196,1790,2190
2013,ON,56,42.0013,-82.7485,9,21.8,23.4,2.7,7.4,8,18,11,82,32,61,696,900
2019,OH,952,41.6035,-82.8974,9,24.3,24.9,1.2,8.5,,0,0,0,0,49,1974,2023
2010,ON,54,41.7638,-82.7697,9,24.5,24.5,1.3,8,,0,0,0,4,295,550,849
2012,ON,54,41.7643,-82.7685,9,23.5,23.5,2.1,8.6,8.6,0,0,446,42,376,3292,4156
2016,ON,54,41.7653,-82.7678,9,25.2,25.3,2.1,8.3,7.7,0,4,0,7,323,2599,2933
2018,ON,54,41.7807,-82.7795,9,24.9,25.4,1,8,8.3,0,0,0,0,360,2047,2407
2015,ON,54,41.7818,-82.779,9,23.9,24.6,1.6,6.9,8.4,0,19,0,15,89,3880,4002
2017,ON,11,41.9423,-83.0467,9,23.2,23.6,1.7,8.8,9.1,0,0,0,342,933,1175,2451
2013,ON,11,41.9433,-83.0497,9,21.7,21.8,2,8.8,8.6,0,0,31,65,542,4356,4994
2016,ON,21,41.9487,-82.9822,9,24.7,25.1,1.7,8.7,9.2,0,4,0,4,142,868,1018
2014,ON,21,41.949,-82.9863,9,21.7,21.8,1.5,7.1,7.4,0,0,0,7,471,5719,6198
2009,ON,21,41.9503,-82.9825,9,22.9,24.9,2.5,3.6,,0,0,4,19,56,63,141
2013,ON,91,41.9688,-82.549,9,22.8,23.2,2.5,8.2,9,0,0,0,0,52,199,251
2009,ON,91,41.9702,-82.5508,9,23.2,23.7,2,7.3,,0,22,119,11,11,2385,2548
2006,ON,91,41.9705,-82.5535,9,23.3,24.6,1.8,6.6,,0,0,28,0,0,20,48
2006,ON,20,41.974,-82.9805,9,24.3,24.4,2.7,7.6,,0,4,54,31,2708,3012,5808
2011,ON,57,41.9985,-82.7483,9,19.3,24.2,3.5,3.1,,0,4,0,0,0,0,4
2012,ON,49,41.9988,-82.7507,9,23.4,23.5,2,7.6,7.7,0,666,160,66,163,8053,9108
2010,ON,49,41.9997,-82.751,9,24.1,24.5,1.3,5.4,,0,24,159,8,4,398,594
2015,ON,56,42.0028,-82.7473,8.9,23.5,24.6,1.9,7.6,8.1,4,240,0,11,11,7698,7963
2019,OH,996,41.4489,-82.6029,8.9,23.8,24.7,1.5,3.8,,0,0,0,0,11,1941,1952
2011,ON,54,41.754,-82.7698,8.9,23.4,24.6,2,5.9,,0,280,4,0,58,2482,2823
2008,ON,54,41.7638,-82.7717,8.9,23.2,23.2,1.5,8.2,,0,0,0,0,167,530,697
2007,ON,54,41.7643,-82.769,8.9,23,23.1,1.7,7.9,,0,141,159,0,41,438,779
2009,ON,54,41.7647,-82.7673,8.9,24.6,24.6,2,6.6,,0,0,0,0,307,669,976
2014,ON,54,41.7652,-82.7712,8.9,22.3,22.5,2.1,10,10.1,0,12,19,0,100,3765,3895
2015,ON,11,41.9397,-83.0457,8.9,23,23.1,2.2,9.1,9,0,7,0,52,134,3156,3349
2012,ON,21,41.9502,-82.9845,8.9,23.1,23.3,2.6,8.6,8.3,0,0,173,138,230,2774,3315
2008,ON,21,41.951,-82.9807,8.9,22.8,22.9,2.8,8.5,,0,0,7,4,7,20322,20340
2016,ON,91,41.9692,-82.5477,8.9,26.4,27.2,2.6,7.9,8,0,305,0,4,22,97,427
2017,ON,20,41.974,-82.9818,8.9,23.6,24.2,2.5,7.2,7.8,0,207,0,0,20,5976,6203
2014,ON,49,41.9997,-82.753,8.9,22.2,22.2,1.6,10.1,9.7,0,31,21,21,66,4094,4233
2015,ON,82,42.003,-82.5885,8.9,24.4,24.6,1.9,8.6,8.7,0,1804,21,4,12,310,2151
2017,ON,82,42.0042,-82.5853,8.9,19.6,23.8,1.2,4.1,4.3,0,7,0,11,100,2196,2314
2010,OH,918,41.8367,-83.055,8.8,24.2,24.3,1.8,5.8,,5,44,414,0,206,5092,5761
2017,OH,970,41.6329,-82.7665,8.8,23.6,24.5,1.5,6.4,,0,19,0,0,74,1254,1347
2018,OH,970,41.6342,-82.763,8.8,23.6,23.8,1.2,6.8,,0,0,0,4,14,1065,1083
2006,OH,969,41.66,-82.76,8.8,24.5,24.9,2.1,8.7,,0,106,7,0,866,1134,2113
2007,OH,969,41.66,-82.76,8.8,23.5,24.4,1.5,6.7,,0,112,6,26,381,2623,3148
2011,OH,969,41.66,-82.7633,8.8,21.9,25.4,1.2,4.6,,0,0,7,0,188,83,278
2013,OH,969,41.6617,-82.7633,8.8,22.2,23.6,1.2,6.4,,0,18,317,0,143,1400,1878
2015,OH,943,41.6645,-82.927,8.8,24.2,24.3,0.9,8.2,,0,151,0,440,336,6160,7087
2017,OH,943,41.6646,-82.9268,8.8,23.8,24.1,2.1,8,,0,301,0,4,36,4874,5215
2018,OH,943,41.6672,-82.9243,8.8,23.6,23.9,0.9,6.6,,0,27,75,8,103,2297,2510
2007,OH,958,41.67,-82.8517,8.8,23.6,24,1.5,7.7,,0,213,141,0,157,13731,14242
2008,OH,958,41.67,-82.8517,8.8,23.3,23.3,1.5,8,,0,0,0,0,608,29448,30056
2010,OH,958,41.6717,-82.865,8.8,25.7,25.7,0.9,7.4,,0,10,6,0,165,3335,3517
2013,OH,958,41.6733,-82.8633,8.8,21.9,23.5,1.1,7.2,,0,0,18,0,128,4610,4757
2011,OH,958,41.6733,-82.865,8.8,24.4,24.9,1.2,6.6,,0,510,147,0,305,2709,3672
2008,OH,931,41.765,-82.9683,8.8,22.9,22.9,1,9.4,,0,9,125,52,142,386,715
2019,OH,888,41.7796,-83.2309,8.8,23.9,25.4,1.2,7,,0,0,0,0,16,1437,1453
2011,ON,54,41.7805,-82.7792,8.8,23.8,24.3,2.5,5.6,,0,8,17,0,765,931,1721
2010,ON,54,41.7815,-82.777,8.8,24.7,24.6,1.1,7.9,,0,8,23,0,146,7537,7714
2019,OH,898,41.8167,-83.1908,8.8,23.9,25.3,1.2,7,,0,0,0,0,30,2180,2210
2006,OH,918,41.8367,-83.0533,8.8,23.8,23.8,2.4,8.3,,0,0,0,133,350,2663,3146
2011,OH,918,41.8367,-83.055,8.8,24.2,24.3,1.8,5.8,,0,0,0,0,97,1213,1310
2013,OH,918,41.8367,-83.0567,8.8,21.5,23.1,2.7,7.2,,0,0,0,0,275,781,1056
2016,OH,918,41.838,-83.0537,8.8,25.2,25.3,2.4,7.5,,0,9,0,19,46,1839,1913
2009,OH,918,41.8383,-83.0567,8.8,23.8,24.8,3.1,2.2,,0,4491,40,0,14,108,4654
2014,OH,918,41.8392,-83.0528,8.8,22,22.9,4,8.3,,0,0,0,0,136,4794,4930
2018,OH,905,41.8471,-83.1332,8.8,23.7,23.8,2.4,8.2,,0,9,0,0,15,1392,1417
2017,OH,905,41.8485,-83.1341,8.8,23.6,23.6,1.5,9.4,,0,0,0,0,339,1870,2210
2017,OH,911,41.8611,-83.1046,8.8,23.5,23.5,1.8,9.1,,0,0,69,8,403,1258,1738
2018,OH,911,41.8615,-83.1015,8.8,23.8,23.7,2.7,8.1,,0,0,0,4,323,4688,5015
2015,OH,911,41.8618,-83.1023,8.8,21.7,21.9,2.1,8.4,,0,123,0,0,59,325,506
2007,ON,21,41.9488,-82.9847,8.8,22.6,22.6,1.4,8.2,,0,461,493,10,357,777,2099
2010,ON,21,41.952,-82.9847,8.8,24.4,24.4,2,8.3,,0,8,0,280,3930,1087,5305
2015,ON,20,41.9762,-82.9787,8.8,23.4,24.9,2.4,9.1,7.8,0,20,8,131,56,2817,3032
2008,ON,57,42,-82.7475,8.8,22.9,23,2.5,8,,0,0,351,118,72,1764,2305
2012,ON,54,41.7813,-82.779,8.7,23.5,23.6,2.3,8.8,8.8,0,154,0,538,204,32864,33760
2013,ON,54,41.7832,-82.7783,8.7,22.2,23.9,1,6.3,6.7,0,46,12,0,327,4448,4833
2009,ON,11,41.9397,-83.0473,8.7,23.3,23.5,2,7.5,,0,4,0,0,181,200,384
2007,ON,11,41.9418,-83.0487,8.7,24.5,24.8,1.6,8.3,,0,4,223,123,734,684,1767
2012,ON,11,41.9422,-83.0448,8.7,22.7,22.9,2.4,8.5,8.4,0,4,22,11,126,1502,1665
2016,ON,11,41.9443,-83.0463,8.7,25.3,25.5,1.7,8.2,8.2,0,10,0,57,3674,1499,5240
2011,ON,21,41.948,-82.982,8.7,23.6,23.7,1.8,6.3,,0,4,0,4,12,446,465
2015,ON,91,41.9682,-82.5443,8.7,20.8,24.2,2.4,5.7,6.2,0,0,0,0,64,303,367
2018,ON,20,41.9732,-82.9785,8.7,24.4,24.4,1.8,8.4,8,0,0,0,3,6,76,85
2014,ON,20,41.9757,-82.9828,8.7,21.9,22,1.7,9.1,7.4,0,0,0,0,148,1231,1380
2013,ON,20,41.9765,-82.9782,8.7,21.6,23.4,2.8,7.2,8.9,0,0,4,4,90,43,140
2007,ON,49,42,-82.7517,8.7,22.9,22.9,2,8.1,,0,711,31,342,65,16134,17283
2006,ON,11,41.9425,-83.0492,8.6,23.8,23.8,1.7,8.1,,7,0,0,0,1647,3294,4948
2017,ON,54,41.7775,-82.7795,8.6,23.6,23.6,1.5,8.6,8,0,54,0,0,2278,8321,10652
2014,ON,54,41.7805,-82.7805,8.6,22.3,22.5,1.3,9.6,9.5,0,30,59,19,70,10029,10207
2016,ON,54,41.7818,-82.7782,8.6,25.2,25.4,1.7,8.2,8.3,0,1245,0,0,54,4491,5789
2010,ON,11,41.9423,-83.0443,8.6,24.3,24.5,1.8,8,,0,8,0,19,3738,392,4156
2008,ON,11,41.9428,-83.046,8.6,22.3,22.6,2.3,7.9,,0,0,0,0,147,724,871
2010,ON,91,41.968,-82.5495,8.6,25.6,25.6,1,8.2,,0,17,0,0,0,871,888
2014,ON,91,41.9712,-82.5477,8.6,22.7,23.2,2.1,8.8,8.9,0,4,0,0,4,20,28
2011,ON,20,41.9728,-82.9782,8.6,22.9,23.9,2.4,4.4,,0,0,0,46,8,37,91
2014,ON,82,42.0045,-82.5868,8.6,22.8,22.8,1.9,9.3,9.6,0,22,262,4,34,990,1312
2013,OH,911,41.86,-83.1033,8.5,21.7,23.4,1.8,7.7,,4,0,0,0,326,6238,6567
2015,OH,970,41.6322,-82.7668,8.5,24.4,24.8,1.2,8.1,,0,9,66,24,435,1337,1871
2014,OH,970,41.6322,-82.7668,8.5,22.3,22.7,1.5,8.9,,0,224,0,0,189,1756,2170
2009,OH,970,41.6333,-82.765,8.5,23.3,23.3,1.2,8.2,,0,12,213,0,2551,2147,4923
2016,OH,970,41.634,-82.7627,8.5,25.1,25.2,2.5,7.4,,0,0,0,4,35,1352,1392
2012,OH,969,41.6617,-82.7633,8.5,23.7,23.7,1.5,6.3,,0,699,323,0,71,2652,3745
2014,OH,943,41.6645,-82.927,8.5,22.2,22.3,1.5,8.9,,0,0,25,0,29,8186,8240
2013,OH,943,41.665,-82.9233,8.5,22,23.9,1.5,7.6,,0,0,149,0,796,1948,2894
2016,OH,943,41.6657,-82.9236,8.5,25.3,25.3,1.5,8,,0,0,0,0,99,8345,8444
2006,OH,958,41.67,-82.8517,8.5,24.6,25.1,2.1,8,,0,20,413,0,371,14725,15530
2012,OH,958,41.6733,-82.8633,8.5,23.4,23.5,1.8,6.2,,0,245,0,0,94,8490,8830
2009,ON,54,41.7802,-82.7832,8.5,24.7,24.8,2.3,6.5,,0,6342,19,267,163,12729,19520
2008,ON,54,41.7815,-82.7767,8.5,23.4,23.4,1.8,8.7,,0,0,4,0,757,13486,14246
2007,OH,918,41.8367,-83.0533,8.5,22.4,23.2,1.8,6.3,,0,10,0,523,722,7985,9240
2012,OH,918,41.8367,-83.0567,8.5,22.5,22.6,3.7,6.6,,0,10,0,0,139,4308,4456
2016,OH,905,41.8463,-83.1349,8.5,25.2,25.4,2.4,7.5,,0,0,0,32,151,711,894
2006,OH,905,41.8467,-83.1333,8.5,23.7,23.9,1.5,7.7,,0,9,30,1848,420,4529,6837
2010,OH,905,41.8467,-83.135,8.5,24,24.2,1.8,5.8,,0,43,27,0,497,8009,8575
2009,OH,905,41.8467,-83.1367,8.5,23.8,25,2.1,3.5,,0,0,1719,0,143,1559,3421
2013,OH,905,41.8467,-83.1367,8.5,21.8,24,1.5,4.7,,0,0,0,0,98,1749,1847
2014,OH,905,41.8475,-83.134,8.5,22,22.8,2.7,8.1,,0,0,0,0,196,3754,3950
2011,OH,905,41.8483,-83.1333,8.5,24,24.4,1.8,8.3,,0,0,0,0,385,1690,2076
2019,OH,886,41.8544,-83.2297,8.5,24,25.1,0.9,6.4,,0,0,0,0,52,777,828
2006,OH,911,41.86,-83.1,8.5,23.6,24.1,1.8,7.9,,0,0,813,3680,992,3374,8860
2016,OH,911,41.8602,-83.1029,8.5,25.3,25.4,1.5,7.5,,0,0,0,12,41,1713,1766
2009,OH,911,41.8617,-83.1033,8.5,23.9,25.4,1.8,4,,0,46,519,0,886,3518,4968
2014,OH,911,41.8618,-83.1023,8.5,21.8,22.9,3.1,8.7,,0,0,0,0,66,5866,5932
2011,OH,911,41.8633,-83.1033,8.5,23.9,24.1,2.1,8,,0,0,0,0,245,1136,1380
2018,OH,8,41.8902,-83.0936,8.5,23.8,23.8,1.8,8.1,,0,0,242,23,536,2546,3347
2017,OH,8,41.8908,-83.0975,8.5,23.4,23.4,2.4,8.9,,0,0,0,15,195,1303,1513
2015,OH,8,41.8912,-83.0943,8.5,21.3,21.5,2.4,8.7,,0,9,0,0,40,110,160
2009,OH,8,41.8917,-83.0983,8.5,25,25.4,2.1,7.4,,0,0,428,0,286,855,1569
2014,ON,11,41.9402,-83.0442,8.5,22.4,22.5,1.1,10.3,10.6,0,72,88,8,1263,7916,9346
2011,ON,11,41.9425,-83.0457,8.5,23.7,24.1,1.6,10.9,,0,0,0,0,58,4,61
2011,ON,91,41.9708,-82.5458,8.5,21.1,24.7,1.6,5.3,,0,4,0,27,27,35,92
2019,ON,91,41.972,-82.5452,8.5,24.3,24.3,1.7,9.1,8.4,0,0,0,0,36,908,944
2012,ON,20,41.9735,-82.981,8.5,23.2,23.5,2.3,8.1,9,0,40,20,3956,474,1713,6203
2009,ON,20,41.9737,-82.9788,8.5,22.8,25,2.3,3.2,,0,24,16,199,3685,2183,6107
2016,ON,20,41.9742,-82.9798,8.5,24.9,25,1.3,8.7,8.8,0,4,0,47,280,1276,1606
2016,ON,82,42.0053,-82.5855,8.5,24.9,24.8,1.3,8.3,8.3,0,0,0,22,11,817,850
2008,ON,82,42.0057,-82.5867,8.5,22.9,22.8,1.7,8.5,,0,0,4,54,124,832,1014
2013,ON,82,42.0063,-82.5853,8.5,22.1,23.4,2.6,7.9,7.1,0,103,0,29,152,445,728
2007,ON,54,41.7807,-82.7788,8.4,23.1,23.2,1.9,7.9,,0,92,108,12,96,4114,4422
2010,ON,20,41.9733,-82.9798,8.4,24.6,24.6,1.8,8.1,,0,12,0,77,246,2908,3242
2007,ON,20,41.9737,-82.979,8.4,22.6,22.6,1,8.1,,0,140,398,22,387,1509,2456
2019,ON,6,41.9755,-83.0835,8.4,24.1,24.9,1.9,8.4,8.2,0,4,0,0,310,794,1109
2008,ON,20,41.9765,-82.9797,8.4,22.8,22.9,3,8.2,,0,0,4,4,80,1004,1092
2013,ON,65,42.0188,-82.7022,8.3,22.6,22.7,1.8,8.2,8.6,4,0,0,119,234,1621,1978
2006,ON,54,41.7788,-82.7792,8.3,24.4,24.6,2,7.8,,0,8,238,0,250,57111,57607
2010,ON,87,41.8035,-82.5872,8.3,17.7,25.4,1.7,2.7,,0,0,184,0,0,388,572
2019,ON,35,41.9835,-82.8688,8.3,24,24.8,,6.3,7.9,0,0,0,11,34,617,662
2015,ON,65,42.0182,-82.7038,8.3,23.6,23.6,2,8.4,8.4,0,4,0,7,75,1205,1291
2013,OH,970,41.635,-82.7617,8.2,22.2,22.9,1.8,7.1,,0,1020,227,0,126,505,1878
2011,OH,970,41.635,-82.765,8.2,22.7,24.5,1.5,5.2,,0,0,142,0,37,577,756
2007,OH,970,41.6367,-82.755,8.2,23.4,23.6,1.5,,,0,19,60,28,577,2666,3350
2008,OH,970,41.6367,-82.755,8.2,22.7,22.7,0.9,8.7,,0,38,0,0,263,965,1266
2006,OH,943,41.6633,-82.925,8.2,24.5,25.2,1.5,8.2,,0,214,710,0,250,8674,9848
2012,OH,943,41.665,-82.9233,8.2,23.3,23.6,1.2,5.8,,0,293,24,0,330,10826,11473
2019,OH,879,41.8285,-83.2684,8.2,23.9,25.3,0.9,6.4,,0,0,0,0,89,3525,3614
2008,OH,918,41.8367,-83.0533,8.2,22.5,23,2.1,6.7,,0,39,0,46,559,1516,2159
2008,OH,905,41.8467,-83.1333,8.2,22.7,23,2.1,6.2,,0,191,0,112,367,1810,2481
2012,OH,905,41.8467,-83.1367,8.2,22.7,23.8,4.9,5.5,,0,0,0,0,20,1603,1622
2007,OH,911,41.86,-83.1,8.2,22.7,23.5,1.8,5.9,,0,27,0,73,300,3855,4255
2008,OH,911,41.86,-83.1,8.2,22.5,22.9,2.5,7,,0,0,0,12,86,620,718
2012,OH,911,41.86,-83.1033,8.2,22.6,22.8,4.3,6,,0,0,0,0,21,86,107
2010,OH,911,41.8617,-83.1017,8.2,23.8,23.8,1.8,6.2,,0,29,6,0,637,4954,5626
2013,OH,8,41.89,-83.0967,8.2,21.4,22.8,2.4,6.9,,0,0,0,0,1150,4207,5356
2015,OH,896,41.8908,-83.188,8.2,21.8,22.2,1.5,8.2,,0,0,0,0,73,835,908
2016,OH,8,41.8909,-83.0946,8.2,24.8,25,1.8,7.8,,0,0,0,0,513,2884,3397
2014,OH,8,41.8912,-83.0943,8.2,21.6,23.2,1.8,8.4,,0,9,0,8,411,3387,3815
2008,OH,8,41.8917,-83.0933,8.2,22.8,23,2.2,9.8,,0,11,0,27,230,2426,2694
2011,OH,8,41.8917,-83.095,8.2,23.9,24,1.5,7.8,,0,0,0,0,121,668,789
2008,ON,91,41.9655,-82.5425,8.2,21.4,21.8,2.1,7.6,,0,28,33,14,108,1090,1272
2017,ON,65,42.0202,-82.705,8.1,23.5,24.1,1.5,8,8.1,4,1625,100,68,219,13589,15604
2012,ON,91,41.9698,-82.5452,8.1,24.3,24.3,1.2,8.8,7.6,0,296,31,8,12,5585,5931
2015,ON,35,41.9785,-82.8667,8.1,23.5,24.5,2.1,7.6,7.8,0,0,0,207,269,388,864
2016,ON,65,42.0188,-82.7015,8.1,25.8,22.8,1.3,8.2,8.2,0,4,0,19,92,2605,2720
2018,ON,65,42.02,-82.706,8.1,24.8,25.2,1.5,5.4,6,0,43,11,72,896,16615,17636
2007,ON,91,41.971,-82.5462,8,22.4,25.5,1.6,9,,0,0,0,0,0,41,41
2012,ON,19,42.0052,-82.5803,8,23.5,23.9,1.4,8,7.5,0,2209,11206,0,61,26299,39775
2007,ON,82,42.0057,-82.5895,8,23.8,23.9,1.5,9,,0,2155,430,8,8,2992,5593
2009,ON,82,42.008,-82.5872,8,20,26.1,1.2,7.7,,0,20,374,80,1514,323,2311
2008,ON,65,42.0185,-82.7012,8,22.5,23.1,3.4,7.3,,0,0,1446,4,36,96,1582
2019,OH,989,41.4741,-82.6534,7.9,24.1,24.2,1.5,6.1,,0,9,0,0,96,3883,3989
