"Lat_M","Lon_M","Date_M","Time_M","LAYER","TRANSECT","FishDensity","Targets_Binned","BottomDepth","N_YAOSized","YAO_FishDens","Stratum"
42.15953475,-80.2062565,20190708,06:22:49,"LO","T1A",62.308907649099,1,13.800254,0,0,1
42.16644546,-80.20875808,20190708,06:18:20,"LO","T1A",72.7910978041931,1,15.591315,0,0,1
42.17334086,-80.21133029,20190708,06:13:45,"LO","T1A",43.2914975792386,10,17.410671,0,0,1
42.18020251,-80.21400639,20190708,06:09:06,"LO","T1A",109.4953205697,14,18.643813,1,7.82109432640712,1
42.18704698,-80.21686466,20190708,06:04:25,"LO","T1A",287.633990766676,20,19.824765,1,14.3816995383338,1
42.19106829,-80.06491667,20190708,07:23:49,"LO","T1B",212.191096546929,4,13.304079,1,53.0477741367322,1
42.19385,-80.21978333,20190708,05:59:44,"LO","T1A",5163.44690428109,12,19.927282,0,0,1
42.19799708,-80.06772583,20190708,07:28:53,"LO","T1B",10.0783098308863,3,14.527568,1,3.35943661029545,1
42.20068962,-80.2224653,20190708,05:55:03,"LO","T1A",4567.21805394464,20,21.0644,1,228.360902697232,1
42.20480749,-80.07117472,20190708,07:33:21,"LO","T1B",185.211703422118,3,15.479898,1,61.7372344740394,1
42.20763743,-80.22496803,20190708,05:50:22,"LO","T1A",1817.50645427483,16,22.70312,1,113.594153392177,1
42.21174958,-80.07374986,20190708,07:37:52,"LO","T1B",3.14968303101379,2,16.317573,2,3.14968303101379,1
42.21455206,-80.22745624,20190708,05:45:40,"LO","T1A",1282.08582918176,17,23.560701,0,0,1
42.21871202,-80.07621512,20190708,07:42:26,"LO","T1B",106.268241852477,2,17.132841,1,53.1341209262387,1
42.22151544,-80.23007181,20190708,05:40:56,"LO","T1A",150.294012615022,21,23.324597,1,7.15685774357245,1
42.22836056,-80.23274241,20190708,05:36:11,"LO","T1A",131.611325212227,6,22.12709,0,0,1
42.2322,-80.08263333,20190708,07:51:26,"LO","T1B",4.57342433932109,6,18.304936,5,3.81118694943424,1
42.23519149,-80.23545272,20190708,05:31:28,"LO","T1A",407.93952718621,20,21.608763,1,20.3969763593105,1
42.23885205,-80.08606769,20190708,07:55:56,"LO","T1B",113.954499268918,3,19.165539,1,37.9848330896394,1
42.24205507,-80.23826836,20190708,05:26:44,"LO","T1A",58.4784574709235,17,22.020978,2,6.879818525991,1
42.24575916,-80.08866417,20190708,08:00:30,"LO","T1B",19.6788796285658,5,20.555876,3,11.8073277771395,1
42.24891279,-80.24098139,20190708,05:22:01,"LO","T1A",175.220028303901,13,22.365895,0,0,1
42.25270654,-80.09089107,20190708,08:05:05,"LO","T1B",38.8737793341616,5,21.702928,2,15.5495117336646,1
42.25581667,-80.24375,20190708,05:17:18,"LO","T1A",137.760457356903,21,21.408998,4,26.2400871156005,1
