"Lat_M","Lon_M","Date_M","Time_M","LAYER","TRANSECT","FishDensity","Targets_Binned","BottomDepth","N_YAOSized","YAO_FishDens","Stratum"
42.37295202,-80.22102845,20180709,03:30:20,"LO","T1a",376.757173939365,1,30.900259,0,0,NA
42.37837697,-80.22283677,20180709,03:26:49,"LO","T1a",169.211019907328,2,31.539715,0,0,NA
42.38533754,-80.22515696,20180709,03:22:15,"LO","T1a",802.095389252801,1,32.207731,0,0,NA
42.39168288,-80.12903333,20180709,04:13:19,"LO","T1b",528.800742933705,2,35.765024,0,0,1
42.39229818,-80.2275605,20180709,03:17:40,"LO","T1a",914.808474600495,12,32.868892,4,304.936158200165,NA
42.39879437,-80.13050924,20180709,04:17:50,"LO","T1b",10.3315760593355,6,36.131109,3,5.16578802966774,1
42.39929554,-80.2299374,20180709,03:13:07,"LO","T1a",395.934308768719,16,33.506425,6,148.475365788269,NA
42.4058564,-80.13197436,20180709,04:22:18,"LO","T1b",8.30816348292589,4,36.309486,2,4.15408174146294,1
42.40621403,-80.23235768,20180709,03:08:35,"LO","T1a",555.540834372681,8,33.930108,3,208.327812889755,NA
42.41291736,-80.13360579,20180709,04:26:44,"LO","T1b",153.531457163936,5,36.670328,0,0,1
42.41319846,-80.23464949,20180709,03:04:02,"LO","T1a",664.847739360946,11,34.494706,7,423.084925047875,NA
42.41998333,-80.13523333,20180709,04:31:07,"LO","T1b",40.2188255811843,4,37.50729,1,10.0547063952961,1
42.42019421,-80.2368814,20180709,02:59:28,"LO","T1a",1240.00740713322,19,34.962738,7,456.844834206976,NA
42.42705706,-80.13683569,20180709,04:35:30,"LO","T1b",573.370840910527,3,38.965142,0,0,1
42.42718333,-80.23901667,20180709,02:54:53,"LO","T1a",1109.98616546613,33,35.362901,18,605.446999345161,NA
42.43413356,-80.13831667,20180709,04:39:52,"LO","T1b",803.557888115856,23,41.359888,6,209.623796899788,1
42.43418732,-80.24120689,20180709,02:50:21,"LO","T1a",126.338612267219,10,35.680377,4,50.5354449068877,NA
42.44116436,-80.24342701,20180709,02:45:48,"LO","T1a",1146.1434680728,3,35.922263,0,0,NA
42.4412144,-80.13971667,20180709,04:44:14,"LO","T1b",1258.68816478416,25,44.444637,13,654.517845687766,1
42.44818333,-80.24551667,20180709,02:41:15,"LO","T1a",440.578870349386,13,36.058704,3,101.672047003704,NA
42.44831364,-80.14111667,20180709,04:48:37,"LO","T1b",2611.32375243622,14,47.25906,1,186.523125174016,1
42.45518718,-80.24762906,20180709,02:36:44,"LO","T1a",205.891127220394,13,36.107085,1,15.8377790169534,NA
42.45536199,-80.14253333,20180709,04:53:01,"LO","T1b",1658.7238321827,10,46.602266,1,165.87238321827,1
42.46221896,-80.24970076,20180709,02:32:15,"LO","T1a",409.406502806169,18,36.30759,3,68.2344171343615,NA
42.46247374,-80.14383014,20180709,04:57:27,"LO","T1b",1223.13915450305,8,47.492881,1,152.892394312881,1
42.46922726,-80.25184242,20180709,02:27:46,"LO","T1a",457.031674045496,26,35.835666,5,87.8907065472107,NA
42.46956376,-80.14529511,20180709,05:01:55,"LO","T1b",562.606526082071,6,49.627099,2,187.535508694024,1
42.47624033,-80.253969,20180709,02:23:17,"LO","T1a",56.0346694573688,13,34.475912,3,12.9310775670851,NA
42.47658333,-80.14715,20180709,05:06:22,"LO","T1b",4156.70998247865,16,48.915742,1,259.794373904916,1
42.4832496,-80.25614431,20180709,02:18:46,"LO","T1a",380.407263317002,33,32.193983,21,242.077349383547,NA
42.48361667,-80.1491,20180709,05:10:45,"LO","T1b",604.512750611092,17,47.691988,10,355.595735653583,1
42.4902342,-80.25837105,20180709,02:14:15,"LO","T1a",508.063829526048,78,28.347414,60,390.818330404652,NA
42.49064943,-80.15096648,20180709,05:15:09,"LO","T1b",850.695091976732,31,45.629432,14,384.184880247556,1
42.4972386,-80.26065907,20180709,02:09:44,"LO","T1a",277.830677472037,33,22.465301,25,210.477785963665,NA
42.49771094,-80.15271476,20180709,05:19:35,"LO","T1b",1574.69389787542,224,42.528408,179,1258.34914160581,1
42.50424895,-80.26286632,20180709,02:05:14,"LO","T1a",118.151875415125,33,19.514489,26,93.0893563876744,NA
42.50476667,-80.15431667,20180709,05:24:01,"LO","T1b",4668.81756583758,483,35.751831,371,3586.19320274481,1
42.51124925,-80.26485,20180709,02:00:37,"LO","T1a",328.543228845792,32,17.912084,24,246.407421634344,NA
42.51181975,-80.15588992,20180709,05:28:28,"LO","T1b",3697.03156225671,368,23.873193,248,2491.47779195561,1
42.51823333,-80.2669,20180709,01:55:53,"LO","T1a",143.583940347222,16,15.145418,4,35.8959850868054,NA
42.51885955,-80.15758096,20180709,05:32:57,"LO","T1b",1548.62135245544,26,14.793392,9,536.061237388421,1
42.52529271,-80.26895312,20180709,01:51:09,"LO","T1a",447.118125345372,6,12.911248,2,149.039375115124,NA
42.53927049,-79.70616794,20180712,05:23:46,"LO","T22b",530.887238094551,113,55.993447,92,432.226777917688,2.2
42.54629433,-79.7082,20180712,05:28:09,"LO","T22b",569.199751798903,108,55.631838,91,479.603494571298,2.2
42.5533252,-79.71023618,20180712,05:32:32,"LO","T22b",472.461841859202,119,54.901242,84,333.502476606496,2.2
42.56035017,-79.71216667,20180712,05:36:55,"LO","T22b",2064.69290028355,100,54.512612,79,1631.10739122401,2.2
42.56058866,-79.64669622,20180712,04:53:04,"LO","T22a",370.367891569167,40,56.354306,27,249.998326809188,2.2
42.56703522,-79.64866714,20180712,04:48:55,"LO","T22a",460.597746078033,53,56.267873,31,269.406228838095,2.2
42.5674,-79.71411667,20180712,05:41:17,"LO","T22b",355.954246694263,92,54.670171,68,263.096617121847,2.2
42.57403583,-79.65095896,20180712,04:44:26,"LO","T22a",222.666203045897,38,55.296868,23,134.77164921199,2.2
42.57441667,-79.71611667,20180712,05:45:39,"LO","T22b",625.087077497441,77,53.72831,50,405.900699673663,2.2
42.5810555,-79.65307406,20180712,04:39:58,"LO","T22a",224.684888448178,48,54.323428,32,149.789925632119,2.2
42.58145034,-79.71805567,20180712,05:50:02,"LO","T22b",424.672869861259,83,52.197986,54,276.293192439855,2.2
42.5880692,-79.65505063,20180712,04:35:31,"LO","T22a",429.617104688791,76,53.356679,48,271.337118750816,2.2
42.58846982,-79.72014246,20180712,05:54:26,"LO","T22b",259.162812573254,53,50.232456,27,132.026338480714,2.2
42.59487233,-79.90387411,20180709,07:09:48,"LO","T23a",1459.12338501824,242,51.596202,211,1272.2108852845,2.3
42.59516263,-79.65710421,20180712,04:31:03,"LO","T22a",510.754650952766,79,51.773898,51,329.727686058115,2.2
42.59543776,-79.72231259,20180712,05:58:51,"LO","T22b",531.553899485628,33,48.506187,8,128.861551390455,2.2
42.60180395,-79.90635132,20180709,07:14:24,"LO","T23a",2139.8347055006,163,49.402716,132,1732.87227684711,2.3
42.60213819,-79.65914606,20180712,04:26:30,"LO","T22a",1163.82770295864,54,48.99303,26,560.361486609714,2.2
42.60245241,-79.72446747,20180712,06:03:13,"LO","T22b",58.2855231013187,36,46.77741,6,9.71425385021978,2.2
42.60878096,-79.90872143,20180709,07:18:58,"LO","T23a",599.095822619367,102,47.987432,82,481.626053478315,2.3
42.60913345,-79.66121115,20180712,04:21:56,"LO","T22a",203.471647729641,42,46.060435,20,96.8912608236384,2.2
42.60938333,-79.72698333,20180712,06:07:35,"LO","T22b",500.663275328106,36,44.8766,11,152.980445239144,2.2
42.61574329,-79.91110332,20180709,07:23:32,"LO","T23a",1146.32960178942,87,46.033862,46,606.105306693257,2.3
42.61616257,-79.66335974,20180712,04:17:24,"LO","T22a",214.237649764051,43,43.590225,19,94.6631475701622,2.2
42.6163,-79.72956667,20180712,06:11:57,"LO","T22b",34.7990068306545,8,43.03336,5,21.7493792691591,2.2
42.62268903,-79.91348523,20180709,07:28:06,"LO","T23a",1593.7323023404,81,44.143877,35,688.649760270544,2.3
42.62316667,-79.66555,20180712,04:12:53,"LO","T22a",850.706100226052,27,40.746352,4,126.030533366823,2.2
