year,Agency,grid,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total,strata,DISCHARGE,AREA,PERIMETER
2019,ON,35,8.3,24,24.8,NA,6.3,7.9,0,0,0,11,34,617,662,1,Detroit R.,1066406006,353171.391
2008,ON,10,5.9,22.7,22.8,1.5,8.6,NA,0,0,0,0,158,530,688,1,Detroit R.,1066406006,353171.391
2011,OH,879,6.7,24.3,25.3,1.2,8.2,NA,0,0,0,0,89,604,693,1,Detroit R.,1066406006,353171.391
2008,OH,931,8.8,22.9,22.9,1,9.4,NA,0,9,125,52,142,386,715,1,Detroit R.,1066406006,353171.391
2012,OH,898,7,23,23.2,2.7,5.6,NA,0,0,0,0,79,636,715,1,Detroit R.,1066406006,353171.391
2008,OH,911,8.2,22.5,22.9,2.5,7,NA,0,0,0,12,86,620,718,1,Detroit R.,1066406006,353171.391
2014,OH,898,7,22.2,22.8,3.1,8.5,NA,0,0,0,0,293,448,741,1,Detroit R.,1066406006,353171.391
2017,OH,886,7.3,23.7,23.8,0.3,9.9,NA,0,0,0,4,83,683,770,1,Detroit R.,1066406006,353171.391
2011,OH,8,8.2,23.9,24,1.5,7.8,NA,0,0,0,0,121,668,789,1,Detroit R.,1066406006,353171.391
2007,ON,6,7.5,24.3,24.7,1.5,8.4,NA,0,0,8,28,414,367,817,1,Detroit R.,1066406006,353171.391
2016,OH,886,7,25,26.5,1.2,7.8,NA,0,0,0,36,28,754,818,1,Detroit R.,1066406006,353171.391
2019,OH,886,8.5,24,25.1,0.9,6.4,NA,0,0,0,0,52,777,828,1,Detroit R.,1066406006,353171.391
2014,OH,896,7.6,21.9,23,2.7,8.4,NA,0,10,0,0,28,815,853,1,Detroit R.,1066406006,353171.391
2015,ON,35,8.1,23.5,24.5,2.1,7.6,7.8,0,0,0,207,269,388,864,1,Detroit R.,1066406006,353171.391
2008,ON,11,8.6,22.3,22.6,2.3,7.9,NA,0,0,0,0,147,724,871,1,Detroit R.,1066406006,353171.391
2016,OH,905,8.5,25.2,25.4,2.4,7.5,NA,0,0,0,32,151,711,894,1,Detroit R.,1066406006,353171.391
2015,OH,898,7.3,21.9,22,0.9,7.7,NA,0,19,0,4,40,843,905,1,Detroit R.,1066406006,353171.391
2015,OH,896,8.2,21.8,22.2,1.5,8.2,NA,0,0,0,0,73,835,908,1,Detroit R.,1066406006,353171.391
2008,OH,886,7.3,23,23.9,2.7,8.9,NA,0,321,0,4,131,453,910,1,Detroit R.,1066406006,353171.391
2012,OH,879,6.4,22.8,23.4,1.8,5.4,NA,0,0,0,0,8,916,924,1,Detroit R.,1066406006,353171.391
2011,OH,898,7,24.2,24.9,1.5,8.1,NA,0,0,0,0,31,898,929,1,Detroit R.,1066406006,353171.391
2016,ON,21,9,24.7,25.1,1.7,8.7,9.2,0,4,0,4,142,868,1018,1,Detroit R.,1066406006,353171.391
2013,OH,886,6.7,21.7,25,0.9,3.4,NA,4,0,0,0,417,600,1021,1,Detroit R.,1066406006,353171.391
2015,ON,37,10.8,23.6,24.4,2.8,7.7,8.2,0,15,0,0,19,1020,1053,1,Detroit R.,1066406006,353171.391
2013,OH,918,8.8,21.5,23.1,2.7,7.2,NA,0,0,0,0,275,781,1056,1,Detroit R.,1066406006,353171.391
2008,ON,20,8.4,22.8,22.9,3,8.2,NA,0,0,4,4,80,1004,1092,1,Detroit R.,1066406006,353171.391
2018,OH,886,7.3,24,24.3,2.1,8,NA,0,0,0,0,16,1089,1105,1,Detroit R.,1066406006,353171.391
2019,ON,6,8.4,24.1,24.9,1.9,8.4,8.2,0,4,0,0,310,794,1109,1,Detroit R.,1066406006,353171.391
2006,ON,9,6,23.9,23.9,1.5,8.3,NA,0,0,83,137,414,480,1113,1,Detroit R.,1066406006,353171.391
2011,ON,6,7.5,23.7,24.3,1.9,10.7,NA,0,0,20,0,984,131,1135,1,Detroit R.,1066406006,353171.391
2010,OH,898,6.7,24.6,24.8,1.2,5.1,NA,0,22,28,23,50,1051,1175,1,Detroit R.,1066406006,353171.391
2010,OH,879,6.4,24.6,25,1.2,5.6,NA,0,20,13,9,10,1147,1199,1,Detroit R.,1066406006,353171.391
2016,OH,898,7,25,26.4,1.2,7.9,NA,0,0,0,24,222,1003,1249,1,Detroit R.,1066406006,353171.391
2006,OH,898,7,24.1,25.2,2.4,7.4,NA,0,0,6,276,123,896,1302,1,Detroit R.,1066406006,353171.391
2011,OH,918,8.8,24.2,24.3,1.8,5.8,NA,0,0,0,0,97,1213,1310,1,Detroit R.,1066406006,353171.391
